,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,SULI,EQUITY,3986916802.0,50,0,547921600,0,0,2194795761,66,8288926,0,0,2751006353,0,6126000,0,82381209,152770933,20414900,39836171,0,923515863,1225045076
1,2022-02-25,SULI,EQUITY,3986916802.0,50,0,547921600,0,0,2194795761,66,8288926,0,0,2751006353,0,6126000,0,82381209,152770933,20414900,39836171,0,923515863,1225045076
2,2022-03-31,SULI,EQUITY,3986916802.0,50,0,547939700,0,0,2194777661,66,8288926,0,0,2751006353,0,6126000,0,82381209,152770933,20414900,39836171,0,923515863,1225045076
3,2022-04-28,SULI,EQUITY,3986916802.0,103,0,524995200,0,0,2138274761,66,6288926,0,5844600,2675403553,0,6126000,0,82381209,204224733,20414900,39836171,0,947664863,1300647876
4,2022-05-31,SULI,EQUITY,3986916802.0,88,0,524385200,0,0,2171419161,66,9726,0,2922300,2698736453,0,6126000,0,83596309,189636733,14016000,36275071,0,947664863,1277314976
5,2022-06-30,SULI,EQUITY,3986916802.0,55,0,542855300,0,0,2117112961,66,9726,0,2922300,2662900353,0,6126000,0,99970809,199198333,23916000,36275071,0,947664863,1313151076
6,2022-07-29,SULI,EQUITY,3986916802.0,60,0,574947900,0,0,2082381961,66,9726,0,2922300,2660261953,0,6126000,0,102510409,196238133,23916000,36275071,0,950723863,1315789476
7,2022-08-31,SULI,EQUITY,3986916802.0,98,0,659910700,0,0,2031900761,66,9726,0,2922300,2694743553,0,6126000,0,97554309,202960633,14876000,36275071,0,923515863,1281307876
8,2022-09-30,SULI,EQUITY,3986916802.0,155,0,576121800,0,0,2055926261,66,9726,0,2922300,2634980153,0,7767000,0,108102609,235854733,5648300,35182771,0,948515863,1341071276
9,2022-10-31,SULI,EQUITY,4076916802.0,148,0,663976200,0,0,2035915461,66,9726,0,2922300,2702823753,0,6130700,0,131378409,237164333,4875600,35162771,0,948515863,1363227676
10,2022-11-30,SULI,EQUITY,4076916802.0,196,0,664309000,0,0,2009534661,66,2726,0,0,2673846453,0,6126000,0,162302109,234931833,4711100,35162771,0,948971163,1392204976
11,2022-12-30,SULI,EQUITY,4076916802.0,159,0,753745200,0,0,1892995461,66,2726,0,0,2646743453,0,6126000,0,180688809,144688933,3875600,133562771,0,950365863,1419307976
12,2023-01-31,SULI,EQUITY,4076916802.0,145,0,753145200,0,0,1890417061,66,2726,0,0,2643565053,0,6126000,0,182239409,145250533,3875600,133562771,0,951432063,1422486376
13,2023-02-28,SULI,EQUITY,4076916802.0,150,0,750356400,0,0,1888643259,66,2728,0,0,2639002453,0,6126000,0,187239509,144813033,3875600,133562771,0,951432063,1427048976
14,2023-03-31,SULI,EQUITY,4076916802.0,125,0,738191400,0,0,1899664559,66,2728,0,0,2637858753,0,6126000,0,186884909,146311333,3875600,133562771,0,951432063,1428192676
15,2023-04-28,SULI,EQUITY,4076916802.0,131,0,713459900,0,0,1922817759,66,2728,0,0,2636280453,0,6126000,0,187169409,147605133,3875600,133562771,0,951432063,1429770976
16,2023-05-31,SULI,EQUITY,4076916802.0,104,0,691665900,0,0,1944069159,66,2728,0,0,2635737853,0,6126000,0,187238409,148258733,3875600,133382771,0,951432063,1430313576
17,2023-06-27,SULI,EQUITY,4076916802.0,112,0,690265900,0,0,1946552859,66,2728,0,0,2636821553,0,6126000,0,186720909,147992533,3875600,133082771,0,951432063,1429229876
18,2023-07-31,SULI,EQUITY,4076916802.0,116,0,160045400,0,0,1275118870,66,2728,250000,0,1435417064,0,6126000,0,187035109,146871033,3875600,2210810340,0,75916283,2630634365
19,2023-08-31,SULI,EQUITY,4076916802.0,127,0,150395600,0,0,1287091570,66,2728,0,0,1437489964,0,6126000,0,186672309,145160933,3875600,2210810340,0,75916283,2628561465
20,2023-09-29,SULI,EQUITY,4076916802.0,176,0,144593200,0,0,1280491670,66,9728,0,0,1425094664,0,6126000,0,190109109,137342833,5369300,2210810340,0,91199183,2640956765
21,2023-10-31,SULI,EQUITY,4076916802.0,202,0,136734900,0,0,1286235170,66,2728,0,0,1422972864,0,6126000,0,197420109,132153633,5369300,2210810340,0,91199183,2643078565
22,2023-11-30,SULI,EQUITY,4076916802.0,174,0,168004400,0,0,1243634670,2000066,2728,0,0,1413641864,0,6296700,0,190217909,136578433,1493700,2226623640,0,91199183,2652409565
23,2023-12-29,SULI,EQUITY,4076916802.0,140,0,172462000,0,0,1235052670,2100066,2728,0,0,1409617464,0,1306126000,0,192611909,138379533,1493700,926623640,0,91199183,2656433965
24,2024-01-31,SULI,EQUITY,4076916802.0,126,0,172461900,0,0,1235283870,2100066,12728,0,0,1409858564,0,1331126000,0,191787309,138758033,1493700,926623640,0,66404183,2656192865
25,2024-02-29,SULI,EQUITY,5403398539.0,120,0,838210080,0,0,1340746009,2100066,11728,0,0,2181067883,0,1331126000,0,191805109,138712033,1493700,1480667058,0,67661383,3211465283
26,2024-03-28,SULI,EQUITY,5730581103.0,118,0,1165392644,0,0,1341963009,2100066,2728,0,0,2509458447,0,1331126000,0,190318309,138708033,1493700,1480667058,0,67944183,3210257283
27,2024-04-30,SULI,EQUITY,5730581103.0,108,0,1165392644,0,0,1339623509,2100066,2728,0,0,2507118947,0,1331126000,0,191980109,138059533,1493700,1480667058,0,69270383,3212596783
28,2024-05-31,SULI,EQUITY,5730581103.0,90,0,1188611029,0,0,1317723524,66,2728,0,0,2506337347,0,1331126000,0,191747809,137198933,1493700,1480667058,0,71144883,3213378383
29,2024-06-28,SULI,EQUITY,5730581103.0,97,0,1188611029,0,0,1317291455,66,2697,0,0,2505905247,0,1331126000,0,191997109,136001733,1493700,1480667058,0,72524883,3213810483
30,2024-07-31,SULI,EQUITY,5730581103.0,95,0,1188611029,0,0,1318610155,66,2797,0,0,2507224047,0,1331126000,0,191947809,134075633,1493700,1480667058,0,73181483,3212491683
31,2024-08-30,SULI,EQUITY,5920776836.0,102,0,1188611029,0,0,1321399355,66,2797,0,0,2510013247,0,1331126000,0,191729009,130401033,1493700,1670862791,0,74285683,3399898216
32,2024-09-30,SULI,EQUITY,5920776836.0,97,0,1188611029,0,0,1319717055,66,2797,0,0,2508330947,0,1331126000,0,191949309,131863033,1493700,1670862791,0,74285683,3401580516
33,2024-10-31,SULI,EQUITY,5920776836.0,90,0,1188611029,0,0,1320636555,66,2797,0,0,2509250447,0,1325126000,0,191913109,130178433,1493700,1676862791,0,75086983,3400661016
34,2024-11-29,SULI,EQUITY,5920776836.0,80,0,1188611029,0,0,1320216955,66,2797,0,0,2508830847,0,1325126000,0,191913709,128992633,1493700,1676862791,0,76691783,3401080616
35,2024-12-30,SULI,EQUITY,6320776836.0,82,0,1135979450,0,0,1369790534,66,2797,0,0,2505772847,0,1325126000,0,194621709,128992633,1493700,2076862791,0,77041783,3804138616
