,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-01-31,SUNI,EQUITY,2500000000.0,296,0,108123900,0,0,101552100,0,0,0,0,209676000,0,0,0,15300,390308700,0,0,0,0,390324000
1,2023-02-28,SUNI,EQUITY,2500000000.0,304,0,107773900,0,0,90346400,0,0,0,0,198120300,0,0,0,100,401879600,0,0,0,0,401879700
2,2023-03-31,SUNI,EQUITY,2500000000.0,292,0,216263100,0,0,112108000,0,0,0,0,328371100,0,0,0,100,271628800,0,0,0,0,271628900
3,2023-04-28,SUNI,EQUITY,2500000000.0,286,0,216263100,0,0,103518800,0,0,0,0,319781900,0,0,0,100,280218000,0,0,0,0,280218100
4,2023-05-31,SUNI,EQUITY,2500000000.0,292,0,216263100,0,0,109949000,0,0,0,0,326212100,0,0,0,100,273787800,0,0,0,0,273787900
5,2023-06-27,SUNI,EQUITY,2500000000.0,270,0,216263100,0,0,108146600,0,0,0,0,324409700,0,0,0,100,275590200,0,0,0,0,275590300
6,2023-07-31,SUNI,EQUITY,2500000000.0,310,0,216263100,0,0,111524600,0,0,0,0,327787700,0,0,0,222900,271989400,0,0,0,0,272212300
7,2023-08-31,SUNI,EQUITY,2500000000.0,428,0,120673100,0,0,106883900,0,0,0,0,227557000,0,0,0,256300,372186700,0,0,0,0,372443000
8,2023-09-29,SUNI,EQUITY,2500000000.0,366,0,120478400,0,0,109880400,0,0,0,0,230358800,0,0,0,417100,369224100,0,0,0,0,369641200
9,2023-10-31,SUNI,EQUITY,2500000000.0,398,0,120395100,0,0,126364800,0,0,0,0,246759900,0,0,0,1185200,352054900,0,0,0,0,353240100
10,2023-11-30,SUNI,EQUITY,2500000000.0,362,0,120302100,0,0,125396400,0,0,0,0,245698500,0,0,0,1254200,353047300,0,0,0,0,354301500
11,2023-12-29,SUNI,EQUITY,2500000000.0,400,0,120244100,0,0,123542000,0,0,0,0,243786100,0,0,0,1036600,355177300,0,0,0,0,356213900
12,2024-01-31,SUNI,EQUITY,2500000000.0,384,0,120244100,0,0,123326300,0,0,0,0,243570400,0,0,0,612800,355816800,0,0,0,0,356429600
13,2024-02-29,SUNI,EQUITY,2500000000.0,354,0,120244100,0,0,125024600,0,0,0,0,245268700,0,0,0,531800,354199500,0,0,0,0,354731300
14,2024-03-28,SUNI,EQUITY,2500000000.0,350,0,120244100,0,0,126352700,0,0,0,0,246596800,0,0,0,452000,352951200,0,0,0,0,353403200
15,2024-04-30,SUNI,EQUITY,2500000000.0,570,0,0,0,0,129050500,0,0,0,0,129050500,0,0,0,233100,470716400,0,0,0,0,470949500
16,2024-05-31,SUNI,EQUITY,2500000000.0,560,0,0,0,0,129096100,0,0,0,0,129096100,0,0,0,288000,470615900,0,0,0,0,470903900
17,2024-06-28,SUNI,EQUITY,2500000000.0,494,0,0,0,0,129051200,0,0,0,0,129051200,0,0,0,332900,470615900,0,0,0,0,470948800
18,2024-07-31,SUNI,EQUITY,2500000000.0,560,0,0,0,0,128835200,0,0,0,0,128835200,0,0,0,517900,470646900,0,0,0,0,471164800
19,2024-08-30,SUNI,EQUITY,2500000000.0,760,0,1824300,0,0,141980900,0,0,0,251500,144056700,0,0,0,432300,455309500,195800,5700,0,0,455943300
20,2024-09-30,SUNI,EQUITY,2500000000.0,735,0,2352100,0,0,140726400,0,0,0,251500,143330000,0,0,607700,739700,454294900,705700,0,0,322000,456670000
21,2024-10-31,SUNI,EQUITY,2500000000.0,825,0,177500,0,0,143714100,27000,0,0,251500,144170100,106500,128600,607700,1750200,451649500,848400,35300,0,703700,455829900
22,2024-11-29,SUNI,EQUITY,2500000000.0,825,0,177500,0,0,142576000,0,0,0,251500,143005000,106500,51400,2097100,1843300,451344100,848400,500,0,703700,456995000
23,2024-12-30,SUNI,EQUITY,2500000000.0,785,0,177500,0,0,144196000,0,0,0,0,144373500,106500,0,2097100,735300,451324100,848400,0,0,515100,455626500
