,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-07-29,SWID-W,WARRANT,340000000.0,11,0,1000,0,0,339846800,0,0,0,0,339847800,0,0,0,0,152200,0,0,0,0,152200
1,2022-08-31,SWID-W,WARRANT,340000000.0,13,0,1000,0,0,339864800,0,0,0,0,339865800,0,0,0,0,134200,0,0,0,0,134200
2,2022-09-30,SWID-W,WARRANT,340000000.0,11,0,1000,0,0,339864800,0,0,0,0,339865800,0,0,0,0,134200,0,0,0,0,134200
3,2022-10-31,SWID-W,WARRANT,340000000.0,12,0,1000,0,0,339864800,0,0,0,0,339865800,0,0,0,0,134200,0,0,0,0,134200
4,2022-11-30,SWID-W,WARRANT,340000000.0,18,0,1000,0,0,339641800,0,0,0,0,339642800,0,0,0,0,357200,0,0,0,0,357200
5,2022-12-30,SWID-W,WARRANT,340000000.0,13,0,1000,0,0,339881700,0,0,0,0,339882700,0,0,0,0,117300,0,0,0,0,117300
6,2023-01-31,SWID-W,WARRANT,339998200.0,9,0,1000,0,0,338880000,0,0,0,0,338881000,0,0,0,0,1117200,0,0,0,0,1117200
7,2023-02-28,SWID-W,WARRANT,339998200.0,7,0,1000,0,0,339880000,0,0,0,0,339881000,0,0,0,0,117200,0,0,0,0,117200
8,2023-03-31,SWID-W,WARRANT,339998000.0,9,0,1000,0,0,339879800,0,0,0,0,339880800,0,0,0,0,117200,0,0,0,0,117200
9,2023-04-28,SWID-W,WARRANT,339998000.0,7,0,1000,0,0,339885300,0,0,0,0,339886300,0,0,0,0,111700,0,0,0,0,111700
10,2023-05-31,SWID-W,WARRANT,339995499.0,6,0,1000,0,0,339886299,0,0,0,0,339887299,0,0,0,0,108200,0,0,0,0,108200
11,2023-06-27,SWID-W,WARRANT,339995399.0,5,0,1000,0,0,339886199,0,0,0,0,339887199,0,0,0,0,108200,0,0,0,0,108200
12,2023-07-31,SWID-W,WARRANT,339995399.0,6,0,1000,0,0,339887999,0,0,0,0,339888999,0,0,0,0,106400,0,0,0,0,106400
13,2023-08-31,SWID-W,WARRANT,339993899.0,7,0,1000,0,0,339886499,0,0,0,0,339887499,0,0,0,0,106400,0,0,0,0,106400
14,2023-09-29,SWID-W,WARRANT,339991899.0,6,0,285300,0,0,339600199,0,0,0,0,339885499,0,0,0,0,106400,0,0,0,0,106400
15,2023-10-31,SWID-W,WARRANT,339990799.0,4,0,1000,0,0,339884599,0,0,0,0,339885599,0,0,0,0,105200,0,0,0,0,105200
16,2023-11-30,SWID-W,WARRANT,339990799.0,3,0,1000,0,0,339884599,0,0,0,0,339885599,0,0,0,0,105200,0,0,0,0,105200
17,2023-12-29,SWID-W,WARRANT,339990799.0,1,0,1000,0,0,339890599,0,0,0,0,339891599,0,0,0,0,99200,0,0,0,0,99200
