,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-07-31,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,51000000000,72000000000,10160000000,76000000000,0,0,0,559160000000,0,0,0,60000000000,0,0,0,0,0,60000000000
1,2023-08-31,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,51000000000,72000000000,10160000000,76000000000,0,0,0,559160000000,0,0,0,60000000000,0,0,0,0,0,60000000000
2,2023-09-29,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,51000000000,72000000000,10160000000,76000000000,0,0,0,559160000000,0,0,0,60000000000,0,0,0,0,0,60000000000
3,2023-10-31,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,51000000000,102000000000,10160000000,76000000000,0,0,0,589160000000,0,0,0,30000000000,0,0,0,0,0,30000000000
4,2023-11-30,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52400000000,100000000000,10160000000,76600000000,0,0,0,589160000000,0,0,0,30000000000,0,0,0,0,0,30000000000
5,2023-12-29,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52400000000,100000000000,10160000000,76600000000,0,0,0,589160000000,0,0,0,30000000000,0,0,0,0,0,30000000000
6,2024-01-31,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52400000000,100000000000,10160000000,76600000000,0,5000000000,0,594160000000,0,0,0,25000000000,0,0,0,0,0,25000000000
7,2024-02-29,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52400000000,125000000000,10160000000,76600000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
8,2024-03-28,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52400000000,125000000000,10160000000,76600000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
9,2024-04-30,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52200000000,125000000000,10160000000,76800000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
10,2024-05-31,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52200000000,125000000000,10160000000,76800000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
11,2024-06-28,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52200000000,125000000000,10160000000,76800000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
12,2024-07-31,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52200000000,125000000000,10160000000,76800000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
13,2024-08-30,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52200000000,125000000000,10160000000,76800000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
14,2024-09-30,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52200000000,125000000000,10160000000,76800000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
15,2024-10-31,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52000000000,120000000000,10160000000,82000000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
16,2024-11-29,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52000000000,120000000000,10160000000,82000000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
17,2024-12-30,TAFS04BCN1,CORPORATE BOND,619160000000.0,1,270000000000,80000000000,52000000000,120000000000,10160000000,82000000000,0,5000000000,0,619160000000,0,0,0,0,0,0,0,0,0,0
