,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TALF,EQUITY,1353435000.0,318,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
1,2022-02-25,TALF,EQUITY,1353435000.0,300,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
2,2022-03-31,TALF,EQUITY,1353435000.0,316,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
3,2022-04-28,TALF,EQUITY,1353435000.0,312,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
4,2022-05-31,TALF,EQUITY,1353435000.0,364,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
5,2022-06-30,TALF,EQUITY,1353435000.0,344,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
6,2022-07-29,TALF,EQUITY,1353435000.0,342,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
7,2022-08-31,TALF,EQUITY,1353435000.0,376,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
8,2022-09-30,TALF,EQUITY,1353435000.0,332,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
9,2022-10-31,TALF,EQUITY,1353435000.0,322,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
10,2022-11-30,TALF,EQUITY,1353435000.0,330,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
11,2022-12-30,TALF,EQUITY,1353435000.0,302,0,1192998900,0,0,7642900,0,0,0,0,1200641800,0,0,0,0,0,0,152732400,0,0,152732400
12,2023-01-31,TALF,EQUITY,1353435000.0,320,0,1192998900,0,0,7640800,0,0,0,0,1200639700,0,0,0,2100,0,0,152732400,0,0,152734500
13,2023-02-28,TALF,EQUITY,1353435000.0,344,0,1192998900,0,0,7642800,0,0,0,0,1200641700,0,0,0,100,0,0,152732400,0,0,152732500
14,2023-03-31,TALF,EQUITY,1353435000.0,440,0,1192998900,0,0,7642800,0,0,0,0,1200641700,0,0,0,100,0,0,152732400,0,0,152732500
15,2023-04-28,TALF,EQUITY,1353435000.0,324,0,1192998900,0,0,7642700,0,0,0,0,1200641600,0,0,0,200,0,0,152732400,0,0,152732600
16,2023-05-31,TALF,EQUITY,1353435000.0,364,0,1192998900,0,0,7642600,0,0,0,0,1200641500,0,0,0,300,0,0,152732400,0,0,152732700
17,2023-06-27,TALF,EQUITY,1353435000.0,304,0,1234414700,0,0,11227000,0,0,0,0,1245641700,0,0,0,100,0,0,107732400,0,0,107732500
