,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TAPG,EQUITY,19852540000.0,695,1040806600,12043691000,172865800,0,721413500,653339968,7361432,13884800,0,14653363100,0,5121405200,0,39096100,4503300,1108200,318000,0,32746100,5199176900
1,2022-02-25,TAPG,EQUITY,19852540000.0,720,1036453600,12027988600,164227900,0,687645000,720307868,11212332,13884800,0,14661720100,0,5121405200,0,24532300,535900,2258400,9342000,0,32746100,5190819900
2,2022-03-31,TAPG,EQUITY,19852540000.0,705,907056200,12035141600,186954600,0,685573400,776584694,6816706,14443800,0,14612571000,0,5122831000,0,21900300,1961200,22812300,9837000,0,60627200,5239969000
3,2022-04-28,TAPG,EQUITY,19852540000.0,670,757004500,12054564700,193033500,0,853774300,716551254,146,14460300,0,14589388700,0,5125822700,262300,46019800,2057700,11315600,9837000,0,67836200,5263151300
4,2022-05-31,TAPG,EQUITY,19852540000.0,710,711283900,12056477300,193318400,0,925936300,630489574,6105277,14443800,15500,14538070051,0,5147890435,12345077,29191600,1372200,16969527,12285000,5904200,88511910,5314469949
5,2022-06-30,TAPG,EQUITY,19852540000.0,640,586923400,12067543100,183959700,0,1043061400,550296100,4350861,14443800,46000,14450624361,0,5165442035,41105839,41053300,2233300,19775137,24095418,5904200,102306410,5401915639
6,2022-07-29,TAPG,EQUITY,19852540000.0,715,540465700,12096807300,175083400,0,1063429600,510365900,6041261,14443800,0,14406636961,0,5165856556,66548386,38876100,2343300,22569484,16518418,8692300,124498495,5445903039
7,2022-08-31,TAPG,EQUITY,19852540000.0,750,514283700,12088777400,200524900,15000,957621500,538377697,4421564,16915900,504500,14321442161,0,5168651456,94234992,45833809,830500,35375884,18265018,8692300,159213880,5531097839
8,2022-09-30,TAPG,EQUITY,19852540000.0,655,487386700,12090409200,218302100,45000,957746100,540034082,4412979,18498100,4500,14316838761,0,5169213256,94234992,30601829,408200,44183784,20522918,8692300,167843960,5535701239
9,2022-10-31,TAPG,EQUITY,19852540000.0,695,480715800,12092402100,216438000,45000,934766600,533740851,4248015,18498100,0,14280854466,0,5171450356,96753392,39846029,408200,62431179,20935018,8692300,171169060,5571685534
10,2022-11-30,TAPG,EQUITY,19852540000.0,680,433378700,12112095900,191462400,30000,986076600,543395101,4158065,18498200,0,14289094966,0,5172131756,96458292,26636429,448200,66547279,21361718,8692300,171169060,5563445034
11,2022-12-30,TAPG,EQUITY,19852540000.0,635,449591200,12108284400,188820500,30000,1010353200,518910801,4160565,18498200,0,14298648866,0,5173194856,92795492,18859529,449600,67155379,21962418,8050100,171423760,5553891134
12,2023-01-31,TAPG,EQUITY,19852540000.0,620,445556500,12105522100,188132300,30000,1048507000,486996761,4223005,18498200,0,14297465866,0,5173784656,91809592,18882153,450400,68143479,22551494,8050100,171402260,5555074134
13,2023-02-28,TAPG,EQUITY,19852540000.0,655,438040300,12099696300,187782100,30000,1098283600,438598708,3287958,18498200,0,14284217166,0,5173643456,91809592,25831255,469700,67685979,29050194,8050100,171782558,5568322834
14,2023-03-31,TAPG,EQUITY,19852540000.0,625,425082400,12099020500,187887400,30000,1107678800,446856996,5055870,18498200,0,14290110166,0,5172499856,91809592,18303309,1102000,67988979,31313394,8050100,171362604,5562429834
15,2023-04-28,TAPG,EQUITY,19852540000.0,640,428965200,12099261800,186401800,30000,1127165300,419276796,5134870,18536200,0,14284771966,0,5171845856,91809592,23605109,1130000,68231179,30110394,8050100,172985804,5567768034
16,2023-05-31,TAPG,EQUITY,19852540000.0,520,402737400,12099595400,184594800,60000,1177935000,415987612,5093554,18498200,0,14304501966,0,5179877256,83148492,21317009,1102800,60861879,30551794,8050100,163128704,5548038034
17,2023-06-27,TAPG,EQUITY,19852540000.0,550,379713000,12103125300,190912900,60000,1170409000,441273644,5319937,18498200,0,14309311981,0,5177027756,74680947,21788109,1153300,61914164,34707494,8050100,163906149,5543228019
18,2023-07-31,TAPG,EQUITY,19852540000.0,570,426712300,12106434900,192728000,60000,1167591400,441524368,4573712,18498200,0,14358122880,0,5153302756,70751347,20180409,1099200,54622454,36172394,7295400,150993160,5494417120
19,2023-08-31,TAPG,EQUITY,19852540000.0,580,419488500,12107076500,193041600,60000,1166497200,460670100,4005195,18498200,0,14369337295,0,5148308741,67546947,19142609,1099200,54638754,36863407,6490987,149112060,5483202705
20,2023-09-29,TAPG,EQUITY,19852540000.0,575,419984600,12110560500,196344600,60000,1181926000,449307500,4053495,18498200,0,14380734895,0,5148206241,62200864,23217309,1157000,54798605,33135493,5425887,143663706,5471805105
21,2023-10-31,TAPG,EQUITY,19852540000.0,550,398681800,12107351800,196117800,60000,1200663800,466492700,9476590,18498200,0,14397342690,0,5144484541,56623432,31400009,1168500,36464710,36695893,5425887,142934338,5455197310
22,2023-11-30,TAPG,EQUITY,19852540000.0,540,396304300,12107487800,195757400,60000,1194169700,461838800,9326090,18498200,0,14383442290,0,5144479641,56030632,32647109,1798300,37640710,36575893,5425887,154499538,5469097710
23,2023-12-29,TAPG,EQUITY,19852540000.0,545,392818000,12112300800,195227700,60000,1191251100,462215000,9255890,18498200,0,14381626690,0,5144719441,56030632,31068009,1798300,38468910,37602593,5425887,155799538,5470913310
24,2024-01-31,TAPG,EQUITY,19852540000.0,560,379976700,12112600800,195140700,60000,1199452400,462364800,9235090,21256100,0,14380086590,0,5145425141,56030632,20421509,1759300,76309710,11281693,5425887,155799538,5472453410
