,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TARA,EQUITY,10069645750.0,50,763271414,3534178993,665015,0,790668738,3644941500,151980712,2638603,0,8888344975,0,1098564815,3692900,36667842,321510,5142900,29109326,0,7801482,1181300775
1,2022-02-25,TARA,EQUITY,10069645750.0,50,763271414,3534178993,665015,0,790668738,3644941500,151980712,2638603,0,8888344975,0,1098564815,3692900,36667842,321510,5142900,29109326,0,7801482,1181300775
2,2022-03-31,TARA,EQUITY,10069645750.0,50,763271414,3534178993,665015,0,790669758,3644939980,151980712,2638603,0,8888344475,0,1098564815,3692900,36667842,322010,5142900,29109326,0,7801482,1181301275
3,2022-04-28,TARA,EQUITY,10069645750.0,50,763271414,3374178993,665015,0,790715751,3804937987,151980712,2638603,0,8888388475,0,1098564815,3692900,36623842,322010,5142900,29109326,0,7801482,1181257275
4,2022-05-31,TARA,EQUITY,10069645750.0,50,763271414,3374178993,665015,0,790824803,3804828935,151980712,2638603,0,8888388475,0,1098564815,3692900,36623842,322010,5142900,29109326,0,7801482,1181257275
5,2022-06-30,TARA,EQUITY,10069645750.0,50,763271414,3374178993,665015,0,791215346,3804440892,151980712,2638603,0,8888390975,0,1098564815,3692900,36623842,322010,5142900,29109326,0,7798982,1181254775
6,2022-07-29,TARA,EQUITY,10069645750.0,50,763271414,3385178993,665949,0,791393904,3793261400,151980712,2638603,0,8888390975,0,1098564815,3692900,36623842,322010,5142900,29109326,0,7798982,1181254775
7,2022-08-31,TARA,EQUITY,10069645750.0,50,763271414,3396664293,665949,0,791540321,3781774183,151980712,2638603,0,8888535475,0,1098564815,3692900,36623842,322010,5142900,29109326,0,7654482,1181110275
8,2022-09-30,TARA,EQUITY,10069645750.0,50,763271414,3396664293,665949,0,791540321,3781774183,151980712,2638603,0,8888535475,0,1098564815,3692900,36623842,322010,5142900,29109326,0,7654482,1181110275
9,2022-10-31,TARA,EQUITY,10069645750.0,50,763271414,3396664293,665949,0,791540321,3781774183,151980712,2638603,0,8888535475,0,1098564815,3692900,36623842,322010,5142900,29109326,0,7654482,1181110275
10,2022-11-30,TARA,EQUITY,10069645750.0,50,763271414,3396779047,665949,0,791160321,3781659429,151980712,2638603,380000,8888535475,0,1098564815,3692900,36623842,322010,5142900,29109300,0,7654508,1181110275
