,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-02-29,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,381500000000,33000000000,362000000000,579000000000,21920000000,1322180000000,0,400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
1,2024-03-28,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,386500000000,33000000000,362000000000,554000000000,21920000000,1342180000000,0,400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
2,2024-04-30,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,416500000000,33000000000,362000000000,525000000000,21920000000,1341180000000,0,400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
3,2024-05-31,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,415500000000,33000000000,362000000000,525000000000,21920000000,1342180000000,0,400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
4,2024-06-28,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,417500000000,33000000000,362000000000,525000000000,21920000000,1340180000000,0,400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
5,2024-07-31,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,448500000000,38000000000,362000000000,449000000000,26920000000,1370180000000,0,5400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
6,2024-08-30,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,458500000000,38000000000,362000000000,350000000000,26920000000,1459180000000,0,5400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
7,2024-09-30,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,478500000000,38000000000,362000000000,312000000000,44920000000,1459180000000,0,5400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
8,2024-10-31,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,478500000000,38000000000,362000000000,312000000000,44920000000,1459180000000,0,5400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
9,2024-11-29,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,463500000000,38000000000,362000000000,327000000000,44920000000,1409180000000,50000000000,5400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
10,2024-12-30,TBIG06CN3,CORPORATE BOND,2700000000000.0,1,441500000000,38000000000,362000000000,327000000000,44920000000,1481180000000,0,5400000000,0,2700000000000,0,0,0,0,0,0,0,0,0,0
