,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,29000000000,50000000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,25500000000,53500000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,25500000000,53500000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,TELE01CCN2,CORPORATE BOND,110000000000.0,1,23000000000,2000000000,0,2000000000,4000000000,25500000000,53500000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,47000000000,2000000000,0,2000000000,4000000000,1500000000,53500000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,TELE01CCN2,CORPORATE BOND,110000000000.0,1,47000000000,2000000000,0,2000000000,4000000000,1500000000,53500000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,TELE01CCN2,CORPORATE BOND,110000000000.0,1,47000000000,2000000000,0,2000000000,4000000000,1500000000,53500000000,0,0,110000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,TELE01CCN2,CORPORATE BOND,110550687500.0,1,47235308768,2010022513,0,2010022513,4019989956,1507544419,53767799331,0,0,110550687500,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,TELE01CCN2,CORPORATE BOND,110550687500.0,1,47235308768,2010022513,0,2010022513,4019989956,1507544419,53767799331,0,0,110550687500,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,TELE01CCN2,CORPORATE BOND,110550687500.0,1,47235308768,2010022513,0,2010022513,4019989956,1507544419,53767799331,0,0,110550687500,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,TELE01CCN2,CORPORATE BOND,110550687500.0,1,47235308768,2010022513,0,2010022513,4019989956,1507544419,53767799331,0,0,110550687500,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,TELE01CCN2,CORPORATE BOND,110550687500.0,1,47235308768,2010022513,0,2010022513,4019989956,1507544419,53767799331,0,0,110550687500,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,TELE01CCN2,CORPORATE BOND,110550687500.0,1,47235308768,2010022513,0,2010022513,4019989956,1507544419,53767799331,0,0,110550687500,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,TELE01CCN2,CORPORATE BOND,110550687500.0,1,47235308768,2010022513,0,2010022513,4019989956,1507544419,53767799331,0,0,110550687500,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,TELE01CCN2,CORPORATE BOND,111104131880.0,1,47471740206,2020095200,0,2020095200,4040135332,1515126608,54036939334,0,0,111104131880,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,TELE01CCN2,CORPORATE BOND,111104131880.0,1,47471740206,2020095200,0,2020095200,4040135332,1515126608,54036939334,0,0,111104131880,0,0,0,0,0,0,0,0,0,0
26,2024-03-28,TELE01CCN2,CORPORATE BOND,111381892210.0,1,47590427193,2025150438,0,2025150438,4050245810,1518931926,54171986405,0,0,111381892210,0,0,0,0,0,0,0,0,0,0
27,2024-04-30,TELE01CCN2,CORPORATE BOND,111381892210.0,1,47590427193,2025150438,0,2025150438,4050245810,1518931926,54171986405,0,0,111381892210,0,0,0,0,0,0,0,0,0,0
28,2024-05-31,TELE01CCN2,CORPORATE BOND,111381892210.0,1,47590427193,2025150438,0,2025150438,4050245810,1518931926,54171986405,0,0,111381892210,0,0,0,0,0,0,0,0,0,0
29,2024-06-28,TELE01CCN2,CORPORATE BOND,111660346941.0,1,47709410899,2030218314,0,2030218314,4060381562,1522746757,54307371095,0,0,111660346941,0,0,0,0,0,0,0,0,0,0
30,2024-07-31,TELE01CCN2,CORPORATE BOND,111660346941.0,1,47709410899,2030218314,0,2030218314,4060381562,1522746757,54307371095,0,0,111660346941,0,0,0,0,0,0,0,0,0,0
31,2024-08-30,TELE01CCN2,CORPORATE BOND,111660346941.0,1,47709410899,2030218314,0,2030218314,4060381562,1522746757,54307371095,0,0,111660346941,0,0,0,0,0,0,0,0,0,0
32,2024-09-30,TELE01CCN2,CORPORATE BOND,111939497808.0,1,47828684425,2035293860,0,2035293860,4070532515,1526553624,54443139524,0,0,111939497808,0,0,0,0,0,0,0,0,0,0
