,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,23500000000,0,100000000000,0,206500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,40500000000,0,100000000000,0,189500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,42000000000,0,100000000000,0,188000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,42000000000,0,100000000000,0,188000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,48500000000,0,100000000000,0,181500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,48500000000,0,100000000000,0,181500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,48500000000,0,100000000000,0,181500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,48500000000,0,100000000000,0,181500000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,55000000000,0,100000000000,0,175000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,55000000000,0,100000000000,0,175000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,65200000000,0,100000000000,0,164800000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,88000000000,0,100000000000,0,142000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,88000000000,0,100000000000,0,142000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,88000000000,0,100000000000,0,142000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,88000000000,0,100000000000,0,142000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,88000000000,0,100000000000,0,142000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,TELE02CN2,CORPORATE BOND,500000000000.0,1,170000000000,88000000000,0,100000000000,0,142000000000,0,0,0,500000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,TELE02CN2,CORPORATE BOND,502503125000.0,1,170851062500,88440550000,0,100500625000,0,142710887500,0,0,0,502503125000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,TELE02CN2,CORPORATE BOND,502503125000.0,1,170851062500,88440550000,0,100500625000,0,142710887500,0,0,0,502503125000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,TELE02CN2,CORPORATE BOND,502503125000.0,1,170851062500,88440550000,0,100500625000,0,142710887500,0,0,0,502503125000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,TELE02CN2,CORPORATE BOND,502503125000.0,1,170851062500,88440550000,0,100500625000,0,142710887500,0,0,0,502503125000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,TELE02CN2,CORPORATE BOND,503759382813.0,1,171278190156,88661651375,0,100751876563,0,143067664719,0,0,0,503759382813,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,TELE02CN2,CORPORATE BOND,503759382813.0,1,171278190156,88661651375,0,100751876563,0,143067664719,0,0,0,503759382813,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,TELE02CN2,CORPORATE BOND,505018781270.0,1,171706385632,88883305503,0,101003756254,0,143425333881,0,0,0,505018781270,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,TELE02CN2,CORPORATE BOND,505018781270.0,1,171706385632,88883305503,0,101003756254,0,143425333881,0,0,0,505018781270,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,TELE02CN2,CORPORATE BOND,505018781270.0,1,171706385632,0,0,101003756254,0,143425333881,88883305503,0,0,505018781270,0,0,0,0,0,0,0,0,0,0
