,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TGRA,EQUITY,2750000000.0,75,67800,587167200,196661500,0,1696807600,70523700,64603300,121575300,6249800,2743656200,0,43600,0,1550100,1111600,0,3638500,0,0,6343800
1,2022-02-25,TGRA,EQUITY,2750000000.0,78,67800,560018700,196661500,0,1711499200,68273700,64603300,121575300,19949800,2742649300,0,43600,0,2992000,1081600,0,3233500,0,0,7350700
2,2022-03-31,TGRA,EQUITY,2750000000.0,72,67800,604192120,196661500,0,1668707680,68273700,64603300,121575300,19949800,2744031200,0,43600,0,1550100,1141600,0,3233500,0,0,5968800
3,2022-04-28,TGRA,EQUITY,2750000000.0,63,67800,556247620,196661500,0,1716652180,68273700,64603300,121575300,19949800,2744031200,0,43600,0,1550100,1141600,0,3233500,0,0,5968800
4,2022-05-31,TGRA,EQUITY,2750000000.0,62,67800,556088320,196661500,0,1691314480,68273700,64602100,121575300,44949800,2743533000,0,43600,0,2718800,1153600,0,2551000,0,0,6467000
5,2022-06-30,TGRA,EQUITY,2750000000.0,66,67800,556976420,196661500,0,1680718780,74352100,64602100,121575300,44949800,2739903800,0,43600,0,2718800,1148200,0,6185600,0,0,10096200
6,2022-07-29,TGRA,EQUITY,2750000000.0,58,67800,529755020,196661500,0,1708493580,68273700,64602100,121575300,44949800,2734378800,0,10200,0,4718800,1173200,0,9719000,0,0,15621200
7,2022-08-31,TGRA,EQUITY,2750000000.0,53,67800,472348300,196661500,0,1766026800,68273700,64602100,121575300,44949800,2734505300,0,10200,0,8218800,1346700,0,5919000,0,0,15494700
8,2022-09-30,TGRA,EQUITY,2750000000.0,50,67800,468748300,196661500,0,1770026100,68273700,64602100,121586100,44939000,2734904600,0,10200,0,8218800,946700,0,5919700,0,0,15095400
9,2022-10-31,TGRA,EQUITY,2750000000.0,50,67800,468748300,196661500,0,1770666100,68273700,64602100,121586100,44939000,2735544600,0,10200,0,8218800,306700,0,5919700,0,0,14455400
10,2022-11-30,TGRA,EQUITY,2750000000.0,50,67800,468748300,196661500,0,1770666100,68273700,64602100,121586100,44939000,2735544600,0,10200,0,8218800,306700,0,5919700,0,0,14455400
11,2022-12-30,TGRA,EQUITY,2750000000.0,55,67800,467564200,196661500,0,1761166100,68273700,64602100,121586100,55623100,2735544600,0,10200,0,8218800,306700,0,5919700,0,0,14455400
12,2023-01-31,TGRA,EQUITY,2750000000.0,50,67800,467564200,196661500,0,1761264100,68273700,64602100,121586100,55525100,2735544600,0,10200,0,8218800,306700,0,5919700,0,0,14455400
13,2023-02-28,TGRA,EQUITY,2750000000.0,50,67800,467564200,196661500,0,1772050100,68273700,64602100,121586100,44939000,2735744500,0,10200,0,8218900,106700,0,5919700,0,0,14255500
14,2023-03-31,TGRA,EQUITY,2750000000.0,51,67800,467564200,196661500,0,1772026700,68273700,64602100,121586100,44939000,2735721100,0,10200,0,8242300,106700,0,5919700,0,0,14278900
15,2023-04-28,TGRA,EQUITY,2750000000.0,51,67800,467564200,196661500,0,1769514700,68273700,64602100,121586100,44201400,2732471500,0,10200,0,9352000,106700,0,8059600,0,0,17528500
16,2023-05-31,TGRA,EQUITY,2750000000.0,50,67800,467564200,196661500,0,1769454600,68273700,64602100,121586100,44201400,2732411400,0,200,0,9352000,1106700,0,7129700,0,0,17588600
17,2023-06-27,TGRA,EQUITY,2750000000.0,50,67800,467564200,196661500,0,1769479300,68273700,64602100,121586100,44201400,2732436100,0,200,0,9327300,1106700,0,7129700,0,0,17563900
18,2023-07-31,TGRA,EQUITY,2750000000.0,50,67800,467564300,196661500,0,1769805000,68273700,64602100,121586100,44201400,2732761900,0,200,0,9218900,1106700,0,6912300,0,0,17238100
19,2023-08-31,TGRA,EQUITY,2750000000.0,50,67800,467564300,196704600,0,1769924800,68230600,64602100,121586100,44201400,2732881700,0,200,0,9218900,1106700,0,6792500,0,0,17118300
20,2023-09-29,TGRA,EQUITY,2750000000.0,50,67800,467588700,196704600,0,1769897300,68230600,64605200,121586100,44201400,2732881700,0,200,0,9218900,1106700,0,6792500,0,0,17118300
21,2023-10-31,TGRA,EQUITY,2750000000.0,50,67800,467564300,196704600,0,1769921600,68230600,64605200,121586100,44201400,2732881600,0,200,0,9219000,1106700,0,6792500,0,0,17118400
22,2023-11-30,TGRA,EQUITY,2750000000.0,50,67800,467564300,196704600,0,1769921300,68230600,64605200,121586100,44201400,2732881300,0,200,0,9219300,1106700,0,6792500,0,0,17118700
23,2023-12-29,TGRA,EQUITY,2750000000.0,50,67800,467564300,196704600,0,1760184800,68230600,64605200,121320100,44201400,2722878800,0,200,0,9219800,1108700,0,16792500,0,0,27121200
24,2024-01-31,TGRA,EQUITY,2750000000.0,50,67800,467564300,196704600,0,1760184800,68230600,64605200,121320100,44201400,2722878800,0,200,0,9219800,1108700,0,16792500,0,0,27121200
25,2024-02-29,TGRA,EQUITY,2750000000.0,50,67800,467564300,196704600,0,1760042000,68230600,64605200,121320100,44201400,2722736000,0,200,0,9232600,1238700,0,16792500,0,0,27264000
26,2024-03-28,TGRA,EQUITY,2750000000.0,34,67800,467564300,196704600,0,1760052000,68230600,64605200,121320100,44201400,2722746000,0,200,0,9232600,1228700,0,16792500,0,0,27254000
27,2024-04-30,TGRA,EQUITY,2750000000.0,10,67800,467564300,196704600,0,1760002000,68230600,64605200,121320100,44201400,2722696000,0,200,0,9232600,1278700,0,16792500,0,0,27304000
28,2024-05-31,TGRA,EQUITY,2750000000.0,12,67800,467564300,196704600,0,1760002000,68230600,64605200,121320100,44201400,2722696000,0,200,0,9232600,1278700,0,16792500,0,0,27304000
29,2024-06-28,TGRA,EQUITY,2750000000.0,14,67800,477564300,196704600,0,1760002000,58230600,64605200,121320100,44201400,2722696000,0,200,0,9232600,1278700,0,16792500,0,0,27304000
30,2024-07-31,TGRA,EQUITY,2750000000.0,42,67800,477564300,196704600,0,1759997000,58230600,64610200,121320100,44201400,2722696000,0,200,0,9232600,1278700,0,16792500,0,0,27304000
31,2024-08-30,TGRA,EQUITY,2750000000.0,22,67800,477564300,196704600,0,1759985000,58230600,64610200,121320100,44201400,2722684000,0,200,0,9232600,1290700,0,16792500,0,0,27316000
32,2024-09-30,TGRA,EQUITY,2750000000.0,24,67800,477563500,196704600,0,1759965800,58230600,64610200,121320100,44201400,2722664000,0,200,0,9232600,1310700,0,16792500,0,0,27336000
33,2024-10-31,TGRA,EQUITY,2750000000.0,21,67800,477563500,196704600,0,1759965800,58230600,64610200,121320100,44201400,2722664000,0,200,0,9232600,1310700,0,16792500,0,0,27336000
34,2024-11-29,TGRA,EQUITY,2750000000.0,19,67800,477563500,196704600,0,1759965800,58230600,64610200,121320100,44201400,2722664000,0,200,0,9232600,1310700,0,16792500,0,0,27336000
35,2024-12-30,TGRA,EQUITY,2750000000.0,31,67800,477563500,196704600,0,1760015800,58230600,64610200,121320100,44201400,2722714000,0,200,0,9232600,1260700,0,16792500,0,0,27286000
