,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TIFA,EQUITY,3552213000.0,600,0,533074423,0,0,12022076,300000,0,0,0,545396499,0,0,0,3006779401,15100,0,22000,0,0,3006816501
1,2022-02-25,TIFA,EQUITY,3552213000.0,580,0,533074423,0,0,12022076,300000,0,0,0,545396499,0,0,0,3006779401,15100,0,22000,0,0,3006816501
2,2022-03-31,TIFA,EQUITY,3552213000.0,565,0,533074423,0,0,12022076,300000,0,0,0,545396499,0,0,0,3006779401,15100,0,22000,0,0,3006816501
3,2022-04-28,TIFA,EQUITY,3552213000.0,525,0,533074423,0,0,12022076,300000,0,0,0,545396499,0,0,0,3006779401,15100,0,22000,0,0,3006816501
4,2022-05-31,TIFA,EQUITY,3552213000.0,500,0,533074423,0,0,12020576,300000,0,0,0,545394999,0,0,0,3006779401,16600,0,22000,0,0,3006818001
5,2022-06-30,TIFA,EQUITY,3552213000.0,498,0,533074423,0,0,12019976,300000,0,0,0,545394399,0,0,0,3006779401,17200,0,22000,0,0,3006818601
6,2022-07-29,TIFA,EQUITY,3552213000.0,555,0,533074423,0,0,12019976,300000,0,0,0,545394399,0,0,0,3006779401,17200,0,22000,0,0,3006818601
7,2022-08-31,TIFA,EQUITY,3552213000.0,492,0,533074423,0,0,12019976,300000,0,0,0,545394399,0,0,0,3006779401,17200,0,22000,0,0,3006818601
8,2022-09-30,TIFA,EQUITY,3552213000.0,494,0,533074423,0,0,12022076,300000,0,0,0,545396499,0,0,0,3006779401,15100,0,22000,0,0,3006816501
9,2022-10-31,TIFA,EQUITY,3552213000.0,515,0,443074423,0,0,12022076,300000,90000000,0,0,545396499,0,0,0,3006779401,15100,0,22000,0,0,3006816501
10,2022-11-30,TIFA,EQUITY,3552213000.0,490,0,533074423,0,0,12014276,300000,0,0,0,545388699,0,0,0,3006787201,15100,0,22000,0,0,3006824301
11,2022-12-30,TIFA,EQUITY,3552213000.0,406,0,533074423,0,0,12011716,300000,160,0,2500,545388799,0,0,0,3006787101,15100,0,22000,0,0,3006824201
12,2023-01-31,TIFA,EQUITY,3552213000.0,422,0,533074423,0,0,12014516,300000,60,0,0,545388999,0,0,0,3006786901,15100,0,22000,0,0,3006824001
13,2023-02-28,TIFA,EQUITY,3552213000.0,432,0,533074423,0,0,12014416,300000,60,0,0,545388899,0,0,0,3006787001,15100,0,22000,0,0,3006824101
14,2023-03-31,TIFA,EQUITY,3552213000.0,408,0,533074423,0,0,12014416,300000,60,0,0,545388899,0,0,0,3006787001,15100,0,22000,0,0,3006824101
15,2023-04-28,TIFA,EQUITY,3552213000.0,440,0,533074423,0,0,12014416,300000,60,0,0,545388899,0,0,0,3006787001,15100,0,22000,0,0,3006824101
16,2023-05-31,TIFA,EQUITY,3552213000.0,448,0,533074423,0,0,12013916,300000,60,0,0,545388399,0,0,0,3006787501,15100,0,22000,0,0,3006824601
17,2023-06-27,TIFA,EQUITY,3552213000.0,436,0,533074423,0,0,12015516,300000,60,0,0,545389999,0,0,0,3006785901,15100,0,22000,0,0,3006823001
18,2023-07-31,TIFA,EQUITY,3552213000.0,436,0,533074423,0,0,12018116,300000,60,0,0,545392599,0,0,0,3006783301,15100,0,22000,0,0,3006820401
19,2023-08-31,TIFA,EQUITY,3552213000.0,400,0,533074423,0,0,12021316,300000,60,0,0,545395799,0,0,0,3006780101,15100,0,22000,0,0,3006817201
20,2023-09-29,TIFA,EQUITY,3552213000.0,460,0,533090523,0,0,12005816,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
21,2023-10-31,TIFA,EQUITY,3552213000.0,525,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
22,2023-11-30,TIFA,EQUITY,3552213000.0,550,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
23,2023-12-29,TIFA,EQUITY,3552213000.0,650,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
24,2024-01-31,TIFA,EQUITY,3552213000.0,650,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
25,2024-02-29,TIFA,EQUITY,3552213000.0,580,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
26,2024-03-28,TIFA,EQUITY,3552213000.0,550,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
27,2024-04-30,TIFA,EQUITY,3552213000.0,388,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
28,2024-05-31,TIFA,EQUITY,3552213000.0,370,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
29,2024-06-28,TIFA,EQUITY,3552213000.0,370,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
30,2024-07-31,TIFA,EQUITY,3552213000.0,590,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
31,2024-08-30,TIFA,EQUITY,3552213000.0,580,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
32,2024-09-30,TIFA,EQUITY,3552213000.0,575,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
33,2024-10-31,TIFA,EQUITY,3552213000.0,570,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
34,2024-11-29,TIFA,EQUITY,3552213000.0,555,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
35,2024-12-30,TIFA,EQUITY,3552213000.0,550,0,533074423,0,0,12021916,300000,60,0,0,545396399,0,0,0,3006779501,15100,0,22000,0,0,3006816601
