,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TINS,EQUITY,7447753454.0,1380,346596116,28947448,35342436,7398,1299846135,312779237,41380111,4363644,901903,2070164428,2630000,60071263,119937151,117629277,5239455,74093068,57341835,0,96651244,533593293
1,2022-02-25,TINS,EQUITY,7447753454.0,1590,345379516,22581422,35408936,7398,1327059741,320399852,37896346,4324044,901903,2093959158,2630000,58303663,98104846,115071177,4890954,78684568,57439611,0,94673744,509798563
2,2022-03-31,TINS,EQUITY,7447753454.0,1820,356056217,23576255,42253736,7398,1107076262,370310798,28747945,2470944,156903,1930656458,5703200,69885138,109523165,173559431,4495254,91001442,68961011,0,149972622,673101263
3,2022-04-28,TINS,EQUITY,7447753454.0,1855,463262117,20151855,40890136,7398,950731979,386721841,25302377,1847944,143103,1889058750,6226700,109640630,113384499,155457439,3161654,92831242,70797377,0,163199430,714698971
4,2022-05-31,TINS,EQUITY,7447753454.0,1900,484114417,21483455,37516536,7398,973165538,358658014,14778750,1947944,148103,1891820155,6523800,121998805,105668767,139082464,3265022,102413642,74474277,0,158518187,711944964
5,2022-06-30,TINS,EQUITY,7447753454.0,1450,442439617,17664655,30644633,7398,932194390,285669915,6059005,2740044,133803,1717553460,6756000,138408432,118746738,201710627,2774222,123277627,85736377,0,208801636,886211659
6,2022-07-29,TINS,EQUITY,7447753454.0,1460,450227217,16659755,24306033,7398,982537331,252474782,4332572,2745544,133803,1733424435,6756000,123879838,125137428,186663641,2952481,118355527,88830639,0,217765130,870340684
7,2022-08-31,TINS,EQUITY,7447753454.0,1495,457137817,18682455,24279033,7398,999954131,247073659,4831147,3573144,133803,1755672587,5596000,128853838,126823528,162147271,3014481,115183427,88426009,0,218047978,848092532
8,2022-09-30,TINS,EQUITY,7447753454.0,1335,459329417,20045755,25935033,7398,1098926289,231979132,4877763,3573298,153403,1844827488,3682800,114993563,115640050,134744323,3364181,107058627,92779109,0,186674978,758937631
9,2022-10-31,TINS,EQUITY,7447753454.0,1355,459300217,19819955,27750133,7398,1104504132,236592444,4766675,3581889,153403,1856476246,3682800,112815163,111502729,119072592,3566781,128837069,92383940,0,175427799,747288873
