,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TOBA,EQUITY,8049964000.0,1790,835100,1626194444,3823700,0,394927700,134912100,801500,1185000,0,2162679544,0,5806712356,0,17462600,2218400,834500,56600,0,0,5827284456
1,2022-02-25,TOBA,EQUITY,8049964000.0,1260,835100,1606910444,3837400,0,429596600,131003400,2411300,1235000,300000,2176129244,0,5806712356,0,3756000,2221400,1047700,97300,0,0,5813834756
2,2022-03-31,TOBA,EQUITY,8049964000.0,1085,835100,1605934744,3068700,0,443273500,108479900,6463200,1185000,550000,2169790144,0,5813128056,0,4183200,1163900,1601400,97300,0,0,5820173856
3,2022-04-28,TOBA,EQUITY,8049964000.0,1070,842500,1602274344,3170000,0,469429400,84134000,7083800,935000,550000,2168419044,0,5813128056,0,6033200,322300,1937800,123600,0,0,5821544956
4,2022-05-31,TOBA,EQUITY,8049964000.0,1060,0,1604946344,2720000,0,466298700,76895200,6618000,935000,550000,2158963244,0,5813743956,0,10160600,412500,1391100,420400,0,4872200,5831000756
5,2022-06-30,TOBA,EQUITY,8049964000.0,800,0,1607185744,2720000,0,472532600,77219800,5907500,935000,0,2166500644,0,5812268456,0,6757900,422200,0,830467,0,3184333,5823463356
6,2022-07-29,TOBA,EQUITY,8049964000.0,865,0,1611839444,3020000,0,476144500,72444800,6255700,935000,0,2170639444,0,5810268456,0,4791200,418400,0,765467,0,3081033,5819324556
7,2022-08-31,TOBA,EQUITY,8049964000.0,835,0,1615237344,3020000,0,470359700,71682400,21207700,945000,0,2182452144,0,5799013656,0,6527100,498800,0,655467,0,816833,5807511856
8,2022-09-30,TOBA,EQUITY,8049964000.0,730,0,1611322844,3320000,0,543498900,70889300,21896300,993000,0,2251920344,0,5733528956,778100,1681700,549600,0,688467,0,816833,5738043656
9,2022-10-31,TOBA,EQUITY,8049964000.0,635,0,1622450644,4420000,0,562220100,66059700,22247500,1025500,0,2278423444,0,5701269456,778100,6062600,601900,823200,645467,0,1359833,5711540556
