,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-02-29,TOSK,EQUITY,4375000000.0,96,0,4000000,0,0,869392600,0,40000,0,0,873432600,0,0,0,121500,1445900,0,0,0,0,1567400
1,2024-03-28,TOSK,EQUITY,4375000000.0,88,0,4050000,0,0,857758900,0,40000,0,0,861848900,0,0,0,11641100,1446900,0,63100,0,0,13151100
2,2024-04-30,TOSK,EQUITY,4375000000.0,69,0,4050000,0,0,863661100,0,40000,0,0,867751100,0,0,0,5733800,1434100,0,81000,0,0,7248900
3,2024-05-31,TOSK,EQUITY,4375000000.0,63,0,4060400,0,0,815350900,0,0,0,0,819411300,0,0,0,20881100,1425200,0,33282400,0,0,55588700
4,2024-06-28,TOSK,EQUITY,4375000000.0,59,0,60400,0,0,797405500,0,0,0,0,797465900,0,0,0,50835200,1428100,0,25270800,0,0,77534100
5,2024-07-31,TOSK,EQUITY,4375000000.0,50,0,86566300,0,0,737330000,0,0,0,0,823896300,0,0,0,30263700,1428100,0,19411900,0,0,51103700
6,2024-08-30,TOSK,EQUITY,4375002236.0,53,0,269418800,0,0,512602736,0,60000000,0,0,842021536,0,0,0,15203600,1438100,0,16339000,0,0,32980700
7,2024-09-30,TOSK,EQUITY,4375003257.0,80,0,204367700,0,0,601919657,0,60000000,0,0,866287357,0,0,0,7267800,1448100,0,0,0,0,8715900
8,2024-10-31,TOSK,EQUITY,4375005147.0,137,0,179056100,0,0,594406847,0,60000000,0,0,833462947,0,80900,0,31779700,1457800,0,8223800,0,0,41542200
9,2024-11-29,TOSK,EQUITY,4375203725.0,84,0,179056100,0,0,561649225,0,60000000,0,0,800705325,0,0,0,65791200,1347800,0,7359400,0,0,74498400
10,2024-12-30,TOSK,EQUITY,4375206491.0,56,0,156936100,0,0,641937001,0,60000090,0,0,858873191,0,0,0,14572500,1417200,0,343600,0,0,16333300
