,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TOWR,EQUITY,51014625000.0,1025,1166308005,3913367200,162776300,1285300,2561979185,1290220094,100818123,19995300,960100,9217709607,131888233,1414992799,2734057226,4490512786,44975600,4513606664,629612455,60020116,2244628549,16264294428
1,2022-02-25,TOWR,EQUITY,51014625000.0,1035,1082812705,3945471200,152306900,1285300,2620900085,1032699265,98589474,19369100,1444000,8954878029,131679233,1402627599,2860762826,4547649271,44975200,4573806867,638076055,75400116,2252148839,16527126006
2,2022-03-31,TOWR,EQUITY,51014625000.0,1070,1261303205,4011498300,151707100,1285300,2600123485,876449883,95490147,18283500,1444000,9017584920,129087133,1353352399,2861934642,4522542748,47104700,4566690497,649319478,76444416,2257943102,16464419115
3,2022-04-28,TOWR,EQUITY,51014625000.0,1010,1263069405,4028052700,152651800,1285300,2697210685,838359077,68141258,18283500,1444000,9068497725,129165933,1367800399,2868271070,4493436609,46787600,4524329531,648933009,76444416,2258337743,16413506310
4,2022-05-31,TOWR,EQUITY,51014625000.0,1000,1286623905,4051317100,148623300,1285300,2836225385,861133082,96441767,17483300,1444000,9300577139,125942533,1374667457,2864648420,4359363184,59997600,4423829979,636112110,74928216,2261937397,16181426896
5,2022-06-30,TOWR,EQUITY,51014625000.0,1100,1423473705,4072898900,151660600,1285300,2939360285,887231765,89142442,18683300,2169000,9585905297,127845833,1323523411,2839475831,4293157811,67891600,4228402810,627789679,75991319,2312020444,15896098738
6,2022-07-29,TOWR,EQUITY,51014625000.0,1175,1197626505,4089767600,161834400,1285300,2906377885,1304081643,79773970,20284200,2556800,9763588303,137349533,1318007615,2830975129,4332413039,77238600,4064397536,622479590,73656019,2261898671,15718415732
7,2022-08-31,TOWR,EQUITY,51014625000.0,1240,1009625005,4053861200,148072500,0,2735918585,1405572666,72978321,25163100,2964800,9454156177,142515033,1281269343,3166438767,4383868880,55018100,4000562073,604695178,72191219,2321289265,16027847858
8,2022-09-30,TOWR,EQUITY,51014625000.0,1235,1009638505,6342165600,127823500,0,2279790679,1251981777,48238503,20704900,2773900,11083117364,138737333,1001743045,2727497361,4285035001,43366100,3345710369,517347027,52321919,2287128516,14398886671
9,2022-10-31,TOWR,EQUITY,51014625000.0,1155,1405140905,6349280700,127249500,0,2177917879,1250252806,52107166,19489600,2240800,11383679356,129358333,915539473,2684637383,4301125610,29533100,3223422124,515700172,51901859,2247106625,14098324679
10,2022-11-30,TOWR,EQUITY,51014625000.0,1130,1736038605,6347091800,120842900,0,2103945066,1182678208,49856778,19489600,944700,11560887657,121052033,858603645,2663935751,4244609321,23783100,3211098365,524294886,51181859,2222557418,13921116378
11,2022-12-30,TOWR,EQUITY,51014625000.0,1100,1985634805,6349742600,118237100,0,2081824066,1200737230,49527954,20886800,944700,11807535255,114710433,891524910,2591280372,4294978472,23003900,2964170671,466738367,41803459,2286258196,13674468780
12,2023-01-31,TOWR,EQUITY,51014625000.0,1120,2047516705,6366831200,119477100,0,2047652866,1228137817,47547564,22017200,1344700,11880525152,110327333,936802610,2589868372,4212192835,25544600,2929575327,481597941,36574459,2278995406,13601478883
13,2023-02-28,TOWR,EQUITY,51014625000.0,1050,2182460005,6370391700,118451300,0,2030117866,1145485653,47066236,23421700,944700,11918339160,107689933,944371529,2618189619,4191954010,25487500,2947055725,490619861,48068959,2190227739,13563664875
14,2023-03-31,TOWR,EQUITY,51014625000.0,925,2229657805,6392517100,122188700,0,2120059866,1041450940,51366698,23863600,994700,11982099409,107601387,962431955,2601747473,4231208474,20488500,3001836721,481137791,47747159,2045705166,13499904626
15,2023-04-28,TOWR,EQUITY,51014625000.0,1025,2266491005,6389184000,119764100,0,2122513166,1013521073,49869721,24085900,944700,11986373665,152364787,959579865,2599512631,4164237135,20572500,2999415486,485346073,47906659,2066695234,13495630370
