,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-12-30,TPR-BBRI01XXJP,TERM NOTES,52332607500.0,1,0,0,0,0,0,0,0,0,52332607500,52332607500,0,0,0,0,0,0,0,0,0,0
1,2023-01-31,TPR-BBRI01XXJP,TERM NOTES,52332607500.0,1,0,0,0,0,0,0,0,0,52332607500,52332607500,0,0,0,0,0,0,0,0,0,0
2,2023-02-28,TPR-BBRI01XXJP,TERM NOTES,52332607500.0,1,0,0,0,0,0,0,0,0,52332607500,52332607500,0,0,0,0,0,0,0,0,0,0
3,2023-03-31,TPR-BBRI01XXJP,TERM NOTES,51363485139.0,1,0,0,0,0,0,0,0,0,51363485139,51363485139,0,0,0,0,0,0,0,0,0,0
4,2023-04-28,TPR-BBRI01XXJP,TERM NOTES,51363485139.0,1,0,0,0,0,0,0,0,0,51363485139,51363485139,0,0,0,0,0,0,0,0,0,0
5,2023-05-31,TPR-BBRI01XXJP,TERM NOTES,51363485139.0,1,0,0,0,0,0,0,0,0,51363485139,51363485139,0,0,0,0,0,0,0,0,0,0
6,2023-06-27,TPR-BBRI01XXJP,TERM NOTES,50394362778.0,1,0,0,0,0,0,0,0,0,50394362778,50394362778,0,0,0,0,0,0,0,0,0,0
7,2023-07-31,TPR-BBRI01XXJP,TERM NOTES,50394362778.0,1,0,0,0,0,0,0,0,0,50394362778,50394362778,0,0,0,0,0,0,0,0,0,0
8,2023-08-31,TPR-BBRI01XXJP,TERM NOTES,50394362778.0,1,0,0,0,0,0,0,0,0,50394362778,50394362778,0,0,0,0,0,0,0,0,0,0
9,2023-09-29,TPR-BBRI01XXJP,TERM NOTES,49425240417.0,1,0,0,0,0,0,0,0,0,49425240417,49425240417,0,0,0,0,0,0,0,0,0,0
10,2023-10-31,TPR-BBRI01XXJP,TERM NOTES,49425240417.0,1,0,0,0,0,0,0,0,0,49425240417,49425240417,0,0,0,0,0,0,0,0,0,0
11,2023-11-30,TPR-BBRI01XXJP,TERM NOTES,49425240417.0,1,0,0,0,0,0,0,0,0,49425240417,49425240417,0,0,0,0,0,0,0,0,0,0
12,2023-12-29,TPR-BBRI01XXJP,TERM NOTES,48456118056.0,1,0,0,0,0,0,0,0,0,48456118056,48456118056,0,0,0,0,0,0,0,0,0,0
13,2024-01-31,TPR-BBRI01XXJP,TERM NOTES,48456118056.0,1,0,0,0,0,0,0,0,0,48456118056,48456118056,0,0,0,0,0,0,0,0,0,0
14,2024-02-29,TPR-BBRI01XXJP,TERM NOTES,48456118056.0,1,0,0,0,0,0,0,0,0,48456118056,48456118056,0,0,0,0,0,0,0,0,0,0
15,2024-03-28,TPR-BBRI01XXJP,TERM NOTES,47486995695.0,1,0,0,0,0,0,0,0,0,47486995695,47486995695,0,0,0,0,0,0,0,0,0,0
16,2024-04-30,TPR-BBRI01XXJP,TERM NOTES,47486995695.0,1,0,0,0,0,0,0,0,0,47486995695,47486995695,0,0,0,0,0,0,0,0,0,0
17,2024-05-31,TPR-BBRI01XXJP,TERM NOTES,47486995695.0,1,0,0,0,0,0,0,0,0,47486995695,47486995695,0,0,0,0,0,0,0,0,0,0
18,2024-06-28,TPR-BBRI01XXJP,TERM NOTES,46517873334.0,1,0,0,0,0,0,0,0,0,46517873334,46517873334,0,0,0,0,0,0,0,0,0,0
19,2024-07-31,TPR-BBRI01XXJP,TERM NOTES,46517873334.0,1,0,0,0,0,0,0,0,0,46517873334,46517873334,0,0,0,0,0,0,0,0,0,0
20,2024-08-30,TPR-BBRI01XXJP,TERM NOTES,46517873334.0,1,0,0,0,0,0,0,0,0,46517873334,46517873334,0,0,0,0,0,0,0,0,0,0
21,2024-09-30,TPR-BBRI01XXJP,TERM NOTES,45548750973.0,1,0,0,0,0,0,0,0,0,45548750973,45548750973,0,0,0,0,0,0,0,0,0,0
22,2024-10-31,TPR-BBRI01XXJP,TERM NOTES,45548750973.0,1,0,0,0,0,0,0,0,0,45548750973,45548750973,0,0,0,0,0,0,0,0,0,0
23,2024-11-29,TPR-BBRI01XXJP,TERM NOTES,45548750973.0,1,0,0,0,0,0,0,0,0,45548750973,45548750973,0,0,0,0,0,0,0,0,0,0
24,2024-12-30,TPR-BBRI01XXJP,TERM NOTES,44579628612.0,1,0,0,0,0,0,0,0,0,44579628612,44579628612,0,0,0,0,0,0,0,0,0,0
