,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-12-30,TPR-BBTN03X1JP,TERM NOTES,210866282078.0,1,0,0,0,0,0,0,0,0,210866282078,210866282078,0,0,0,0,0,0,0,0,0,0
1,2023-01-31,TPR-BBTN03X1JP,TERM NOTES,210866282078.0,1,0,0,0,0,0,0,0,0,210866282078,210866282078,0,0,0,0,0,0,0,0,0,0
2,2023-02-28,TPR-BBTN03X1JP,TERM NOTES,210866282078.0,1,0,0,0,0,0,0,0,0,210866282078,210866282078,0,0,0,0,0,0,0,0,0,0
3,2023-03-31,TPR-BBTN03X1JP,TERM NOTES,207230656525.0,1,0,0,0,0,0,0,0,0,207230656525,207230656525,0,0,0,0,0,0,0,0,0,0
4,2023-04-28,TPR-BBTN03X1JP,TERM NOTES,207230656525.0,1,0,0,0,0,0,0,0,0,207230656525,207230656525,0,0,0,0,0,0,0,0,0,0
5,2023-05-31,TPR-BBTN03X1JP,TERM NOTES,207230656525.0,1,0,0,0,0,0,0,0,0,207230656525,207230656525,0,0,0,0,0,0,0,0,0,0
6,2023-06-27,TPR-BBTN03X1JP,TERM NOTES,203595030972.0,1,0,0,0,0,0,0,0,0,203595030972,203595030972,0,0,0,0,0,0,0,0,0,0
7,2023-07-31,TPR-BBTN03X1JP,TERM NOTES,203595030972.0,1,0,0,0,0,0,0,0,0,203595030972,203595030972,0,0,0,0,0,0,0,0,0,0
8,2023-08-31,TPR-BBTN03X1JP,TERM NOTES,203595030972.0,1,0,0,0,0,0,0,0,0,203595030972,203595030972,0,0,0,0,0,0,0,0,0,0
9,2023-09-29,TPR-BBTN03X1JP,TERM NOTES,199959405419.0,1,0,0,0,0,0,0,0,0,199959405419,199959405419,0,0,0,0,0,0,0,0,0,0
10,2023-10-31,TPR-BBTN03X1JP,TERM NOTES,199959405419.0,1,0,0,0,0,0,0,0,0,199959405419,199959405419,0,0,0,0,0,0,0,0,0,0
11,2023-11-30,TPR-BBTN03X1JP,TERM NOTES,199959405419.0,1,0,0,0,0,0,0,0,0,199959405419,199959405419,0,0,0,0,0,0,0,0,0,0
12,2023-12-29,TPR-BBTN03X1JP,TERM NOTES,196323779866.0,1,0,0,0,0,0,0,0,0,196323779866,196323779866,0,0,0,0,0,0,0,0,0,0
13,2024-01-31,TPR-BBTN03X1JP,TERM NOTES,196323779866.0,1,0,0,0,0,0,0,0,0,196323779866,196323779866,0,0,0,0,0,0,0,0,0,0
14,2024-02-29,TPR-BBTN03X1JP,TERM NOTES,196323779866.0,1,0,0,0,0,0,0,0,0,196323779866,196323779866,0,0,0,0,0,0,0,0,0,0
15,2024-03-28,TPR-BBTN03X1JP,TERM NOTES,192688154313.0,1,0,0,0,0,0,0,0,0,192688154313,192688154313,0,0,0,0,0,0,0,0,0,0
16,2024-04-30,TPR-BBTN03X1JP,TERM NOTES,192688154313.0,1,0,0,0,0,0,0,0,0,192688154313,192688154313,0,0,0,0,0,0,0,0,0,0
17,2024-05-31,TPR-BBTN03X1JP,TERM NOTES,192688154313.0,1,0,0,0,0,0,0,0,0,192688154313,192688154313,0,0,0,0,0,0,0,0,0,0
18,2024-06-28,TPR-BBTN03X1JP,TERM NOTES,189052528760.0,1,0,0,0,0,0,0,0,0,189052528760,189052528760,0,0,0,0,0,0,0,0,0,0
19,2024-07-31,TPR-BBTN03X1JP,TERM NOTES,189052528760.0,1,0,0,0,0,0,0,0,0,189052528760,189052528760,0,0,0,0,0,0,0,0,0,0
20,2024-08-30,TPR-BBTN03X1JP,TERM NOTES,189052528760.0,1,0,0,0,0,0,0,0,0,189052528760,189052528760,0,0,0,0,0,0,0,0,0,0
21,2024-09-30,TPR-BBTN03X1JP,TERM NOTES,185416903207.0,1,0,0,0,0,0,0,0,0,185416903207,185416903207,0,0,0,0,0,0,0,0,0,0
22,2024-10-31,TPR-BBTN03X1JP,TERM NOTES,185416903207.0,1,0,0,0,0,0,0,0,0,185416903207,185416903207,0,0,0,0,0,0,0,0,0,0
23,2024-11-29,TPR-BBTN03X1JP,TERM NOTES,185416903207.0,1,0,0,0,0,0,0,0,0,185416903207,185416903207,0,0,0,0,0,0,0,0,0,0
24,2024-12-30,TPR-BBTN03X1JP,TERM NOTES,181781277654.0,1,0,0,0,0,0,0,0,0,181781277654,181781277654,0,0,0,0,0,0,0,0,0,0
