,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-06-27,TPR-SMBRIS01X1JP,SUKUK,3758737500.0,1,0,0,0,0,0,0,0,0,3758737500,3758737500,0,0,0,0,0,0,0,0,0,0
1,2023-07-31,TPR-SMBRIS01X1JP,SUKUK,3758737500.0,1,0,0,0,0,0,0,0,0,3758737500,3758737500,0,0,0,0,0,0,0,0,0,0
2,2023-08-31,TPR-SMBRIS01X1JP,SUKUK,3758737500.0,1,0,0,0,0,0,0,0,0,3758737500,3758737500,0,0,0,0,0,0,0,0,0,0
3,2023-09-29,TPR-SMBRIS01X1JP,SUKUK,3683562750.0,1,0,0,0,0,0,0,0,0,3683562750,3683562750,0,0,0,0,0,0,0,0,0,0
4,2023-10-31,TPR-SMBRIS01X1JP,SUKUK,3683562750.0,1,0,0,0,0,0,0,0,0,3683562750,3683562750,0,0,0,0,0,0,0,0,0,0
5,2023-11-30,TPR-SMBRIS01X1JP,SUKUK,3683562750.0,1,0,0,0,0,0,0,0,0,3683562750,3683562750,0,0,0,0,0,0,0,0,0,0
6,2023-12-29,TPR-SMBRIS01X1JP,SUKUK,3608388000.0,1,0,0,0,0,0,0,0,0,3608388000,3608388000,0,0,0,0,0,0,0,0,0,0
7,2024-01-31,TPR-SMBRIS01X1JP,SUKUK,3608388000.0,1,0,0,0,0,0,0,0,0,3608388000,3608388000,0,0,0,0,0,0,0,0,0,0
8,2024-02-29,TPR-SMBRIS01X1JP,SUKUK,3608388000.0,1,0,0,0,0,0,0,0,0,3608388000,3608388000,0,0,0,0,0,0,0,0,0,0
9,2024-03-28,TPR-SMBRIS01X1JP,SUKUK,3533213250.0,1,0,0,0,0,0,0,0,0,3533213250,3533213250,0,0,0,0,0,0,0,0,0,0
10,2024-04-30,TPR-SMBRIS01X1JP,SUKUK,3533213250.0,1,0,0,0,0,0,0,0,0,3533213250,3533213250,0,0,0,0,0,0,0,0,0,0
11,2024-05-31,TPR-SMBRIS01X1JP,SUKUK,3533213250.0,1,0,0,0,0,0,0,0,0,3533213250,3533213250,0,0,0,0,0,0,0,0,0,0
12,2024-06-28,TPR-SMBRIS01X1JP,SUKUK,3458038500.0,1,0,0,0,0,0,0,0,0,3458038500,3458038500,0,0,0,0,0,0,0,0,0,0
13,2024-07-31,TPR-SMBRIS01X1JP,SUKUK,3458038500.0,1,0,0,0,0,0,0,0,0,3458038500,3458038500,0,0,0,0,0,0,0,0,0,0
14,2024-08-30,TPR-SMBRIS01X1JP,SUKUK,3458038500.0,1,0,0,0,0,0,0,0,0,3458038500,3458038500,0,0,0,0,0,0,0,0,0,0
15,2024-09-30,TPR-SMBRIS01X1JP,SUKUK,3382863750.0,1,0,0,0,0,0,0,0,0,3382863750,3382863750,0,0,0,0,0,0,0,0,0,0
16,2024-10-31,TPR-SMBRIS01X1JP,SUKUK,3382863750.0,1,0,0,0,0,0,0,0,0,3382863750,3382863750,0,0,0,0,0,0,0,0,0,0
17,2024-11-29,TPR-SMBRIS01X1JP,SUKUK,3382863750.0,1,0,0,0,0,0,0,0,0,3382863750,3382863750,0,0,0,0,0,0,0,0,0,0
18,2024-12-30,TPR-SMBRIS01X1JP,SUKUK,3307689000.0,1,0,0,0,0,0,0,0,0,3307689000,3307689000,0,0,0,0,0,0,0,0,0,0
