,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
1,2022-02-25,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
2,2022-03-31,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
3,2022-04-28,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
4,2022-05-31,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
5,2022-06-30,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
6,2022-07-29,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
7,2022-08-31,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
8,2022-09-30,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
9,2022-10-31,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269408560,0,12524100,1691000,658700,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
10,2022-11-30,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269316860,0,12530400,1691000,744100,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
11,2022-12-30,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269316860,0,12530400,1691000,744100,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
12,2023-01-31,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269316860,0,12530400,1691000,744100,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
13,2023-02-28,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269316860,0,12530400,1691000,744100,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
14,2023-03-31,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269316860,0,12530400,1691000,744100,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
15,2023-04-28,TRIL,EQUITY,1200000000.0,50,0,864433740,0,0,269316860,0,12530400,1691000,744100,1148716100,0,0,0,21000,2188600,0,1002800,0,48071500,51283900
