,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TRIS,EQUITY,3141443806.0,198,0,108673200,0,0,61987208,68757725,44400,0,0,239462533,0,3000,0,3005000,134900,0,21491100,0,100514225,125148225
1,2022-02-25,TRIS,EQUITY,3141443806.0,184,0,108684500,0,0,61975908,68757725,44400,0,0,239462533,0,3000,0,3005000,134900,0,21491100,0,100514225,125148225
2,2022-03-31,TRIS,EQUITY,3141443806.0,185,0,108833400,0,0,61827008,68757725,44400,0,0,239462533,0,3000,0,3005000,134900,0,21491100,0,100514225,125148225
3,2022-04-28,TRIS,EQUITY,3141443806.0,173,0,108833400,0,0,61825908,68757725,44400,0,0,239461433,0,3000,0,3005000,136000,0,21491100,0,100514225,125149325
4,2022-05-31,TRIS,EQUITY,3141443806.0,171,0,110371500,0,0,60287808,68757725,44400,0,0,239461433,0,3000,0,3005000,136000,0,21491100,0,100514225,125149325
5,2022-06-30,TRIS,EQUITY,3141443806.0,192,0,113206900,0,0,58838808,67416825,0,0,0,239462533,0,3000,0,3005000,134900,0,21491100,0,100514225,125148225
6,2022-07-29,TRIS,EQUITY,3141443806.0,151,0,114030500,0,0,63232708,62199325,0,0,0,239462533,0,0,0,3005000,134900,0,21494100,0,100514225,125148225
7,2022-08-31,TRIS,EQUITY,3141443806.0,162,0,118392000,0,0,62001208,59069325,0,0,0,239462533,0,0,0,3005000,134900,0,21494100,0,100514225,125148225
8,2022-09-30,TRIS,EQUITY,3141443806.0,159,0,124687000,0,0,63809108,50966425,0,0,0,239462533,0,0,0,3005000,134900,0,21494100,0,100514225,125148225
9,2022-10-31,TRIS,EQUITY,3141443806.0,168,0,131605900,0,0,64284208,46572525,0,0,0,242462633,0,0,0,0,139800,0,21494100,0,100514225,122148125
10,2022-11-30,TRIS,EQUITY,3141443831.0,240,0,133817100,0,0,69350233,39275125,0,0,0,242442458,0,0,0,25100,134900,0,21494100,0,100514225,122168325
11,2022-12-30,TRIS,EQUITY,3141443831.0,236,0,142869100,0,0,69140433,39275125,0,0,672700,251957358,0,74500,0,435700,134900,0,21494100,0,100514225,122653425
12,2023-01-31,TRIS,EQUITY,3141443831.0,204,0,292928634,0,0,75238699,39275125,0,0,0,407442458,0,0,0,25100,134900,0,21494100,0,100514225,122168325
13,2023-02-28,TRIS,EQUITY,3141443831.0,216,0,292928634,0,0,74887699,39275125,0,0,0,407091458,0,0,0,376100,134900,0,21494100,0,100514225,122519325
14,2023-03-31,TRIS,EQUITY,3141443831.0,230,0,139190074,0,0,75081659,39275125,0,0,0,253546858,0,0,0,153920700,134900,0,21494100,0,100514225,276063925
15,2023-04-28,TRIS,EQUITY,3141443831.0,226,0,131341274,0,0,83056759,39275125,0,0,0,253673158,0,0,0,153794400,134900,0,21494100,0,100514225,275937625
16,2023-05-31,TRIS,EQUITY,3141443831.0,224,0,140242474,0,0,67482159,39275125,0,0,0,246999758,0,94700,0,160373100,134900,0,21494100,0,100514225,282611025
17,2023-06-27,TRIS,EQUITY,3141443831.0,226,0,142515874,0,0,66137659,39275125,0,0,0,247928658,0,94700,0,159444200,134900,0,21494100,0,100514225,281682125
18,2023-07-31,TRIS,EQUITY,3141443831.0,194,0,143636974,0,0,67608759,39275125,0,0,0,250520858,0,94700,0,156852000,134900,0,21494100,0,100514225,279089925
19,2023-08-31,TRIS,EQUITY,3141443831.0,224,0,134506974,0,0,79784259,39275125,0,0,0,253566358,0,0,0,153801200,234900,0,21494100,0,100514225,276044425
