,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TRUK,EQUITY,435000000.0,180,0,263772600,0,0,171211600,0,15500,0,0,434999700,0,200,0,0,100,0,0,0,0,300
1,2022-02-25,TRUK,EQUITY,435000000.0,246,0,264143800,0,0,170408700,0,15000,0,0,434567500,0,200,0,426200,6100,0,0,0,0,432500
2,2022-03-31,TRUK,EQUITY,435000000.0,188,0,255250100,0,0,179513100,0,15000,0,0,434778200,0,200,0,211500,10100,0,0,0,0,221800
3,2022-04-28,TRUK,EQUITY,435000000.0,172,0,252250100,0,0,182019700,0,15000,0,0,434284800,0,200,0,704900,10100,0,0,0,0,715200
4,2022-05-31,TRUK,EQUITY,435000000.0,152,0,252325100,0,0,182617600,0,15000,0,0,434957700,0,200,0,32000,10100,0,0,0,0,42300
5,2022-06-30,TRUK,EQUITY,435000000.0,130,0,252325100,0,0,182573300,0,15000,0,0,434913400,0,200,0,76300,10100,0,0,0,0,86600
6,2022-07-29,TRUK,EQUITY,435000000.0,120,0,252310100,0,0,182423600,0,15000,0,0,434748700,0,200,0,241100,10000,0,0,0,0,251300
7,2022-08-31,TRUK,EQUITY,435000000.0,120,0,252230100,0,0,181452900,0,15000,0,0,433698000,0,1292000,0,0,10000,0,0,0,0,1302000
8,2022-09-30,TRUK,EQUITY,435000000.0,114,0,252207600,0,0,181987100,0,203300,0,0,434398000,0,592000,0,0,10000,0,0,0,0,602000
9,2022-10-31,TRUK,EQUITY,435000000.0,118,0,252207600,0,0,182475400,0,15000,0,0,434698000,0,292000,0,0,10000,0,0,0,0,302000
10,2022-11-30,TRUK,EQUITY,435000000.0,112,0,276307600,0,0,158375400,0,15000,0,0,434698000,0,292000,0,0,10000,0,0,0,0,302000
11,2022-12-30,TRUK,EQUITY,435000000.0,100,0,279060100,0,0,155622900,0,15000,0,0,434698000,0,292000,0,0,10000,0,0,0,0,302000
12,2023-01-31,TRUK,EQUITY,435000000.0,105,0,279060100,0,0,155622900,0,15000,0,0,434698000,0,292000,0,0,10000,0,0,0,0,302000
13,2023-02-28,TRUK,EQUITY,435000000.0,112,0,279060100,0,0,155594100,0,15000,0,0,434669200,0,292000,0,28800,10000,0,0,0,0,330800
14,2023-03-31,TRUK,EQUITY,435000000.0,93,0,279060100,0,0,155622800,0,15000,0,0,434697900,0,292000,0,100,10000,0,0,0,0,302100
15,2023-04-28,TRUK,EQUITY,435000000.0,93,0,279060100,0,0,155622800,0,15000,0,0,434697900,0,292000,0,100,10000,0,0,0,0,302100
16,2023-05-31,TRUK,EQUITY,435000000.0,90,0,279060100,0,0,155554700,0,15000,0,0,434629800,0,100,0,100,370000,0,0,0,0,370200
17,2023-06-27,TRUK,EQUITY,435000000.0,92,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
18,2023-07-31,TRUK,EQUITY,435000000.0,88,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
19,2023-08-31,TRUK,EQUITY,435000000.0,84,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
20,2023-09-29,TRUK,EQUITY,435000000.0,82,0,279697900,0,0,154556900,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
21,2023-10-31,TRUK,EQUITY,435000000.0,86,0,279110100,0,0,155144700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
22,2023-11-30,TRUK,EQUITY,435000000.0,83,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
23,2023-12-29,TRUK,EQUITY,435000000.0,86,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
24,2024-01-31,TRUK,EQUITY,435000000.0,90,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
25,2024-02-29,TRUK,EQUITY,435000000.0,94,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
26,2024-03-28,TRUK,EQUITY,435000000.0,93,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
27,2024-04-30,TRUK,EQUITY,435000000.0,92,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
28,2024-05-31,TRUK,EQUITY,435000000.0,76,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
29,2024-06-28,TRUK,EQUITY,435000000.0,52,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
30,2024-07-31,TRUK,EQUITY,435000000.0,80,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
31,2024-08-30,TRUK,EQUITY,435000000.0,90,0,279060100,0,0,155194700,0,15000,0,0,434269800,0,100,0,100,730000,0,0,0,0,730200
32,2024-09-30,TRUK,EQUITY,435000000.0,104,0,279060100,0,0,155564700,0,15000,0,0,434639800,0,100,0,100,360000,0,0,0,0,360200
33,2024-10-31,TRUK,EQUITY,435000000.0,106,0,279060100,0,0,155924700,0,15000,0,0,434999800,0,100,0,100,0,0,0,0,0,200
34,2024-11-29,TRUK,EQUITY,435000000.0,79,0,279422500,0,0,155562300,0,15000,0,0,434999800,0,100,0,100,0,0,0,0,0,200
35,2024-12-30,TRUK,EQUITY,435000000.0,84,0,279060100,0,0,155924700,0,15000,0,0,434999800,0,100,0,100,0,0,0,0,0,200
