,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,TSPC,EQUITY,4509864300.0,1500,546300,986750018,0,10000,140668642,3178300,9456129,0,0,1140609389,0,32840950,214800,42473083,788700,139074900,319798867,2515100,69622411,607328811
1,2022-02-25,TSPC,EQUITY,4509864300.0,1500,546300,993329818,0,10000,135309142,2978300,7374829,0,0,1139548389,0,32840950,214800,44649383,772300,145834300,319802867,2515100,61760111,608389811
2,2022-03-31,TSPC,EQUITY,4509864300.0,1475,546300,1000939318,0,10000,133219342,3178300,7618929,0,0,1145512189,0,30156450,635100,44125983,777200,144681300,320125867,2603300,59320811,602426011
3,2022-04-28,TSPC,EQUITY,4509864300.0,1470,546300,1013469118,0,10000,133009642,3175500,2262329,0,0,1152472889,0,29097950,635100,43708883,749900,141757000,320544067,2603300,56369111,595465311
4,2022-05-31,TSPC,EQUITY,4509864300.0,1455,546300,1017347518,0,10000,131616042,3201100,7588829,0,0,1160309789,0,28303150,635100,42011560,749200,139093100,320938267,2603300,53622234,587955911
5,2022-06-30,TSPC,EQUITY,4509864300.0,1400,546300,1025947618,0,10000,134951642,3140600,8351929,0,0,1172948089,0,26920750,635100,40979509,906600,133371800,321471467,2603300,48429085,575317611
6,2022-07-29,TSPC,EQUITY,4509864300.0,1380,546300,1028086818,0,10000,138629642,3135400,8426929,0,0,1178835089,0,25454750,688900,40665320,783300,130428700,322208667,2677300,46523674,569430611
7,2022-08-31,TSPC,EQUITY,4509864300.0,1370,546300,1029379018,0,10000,145789842,2899800,8451929,0,0,1187076889,0,24296150,666800,39678064,787800,126996700,322253667,2677300,44998730,562355211
8,2022-09-30,TSPC,EQUITY,4509864300.0,1360,546300,1032878718,0,10000,149995342,899800,8401929,0,0,1192732089,0,23391050,739800,39277982,798800,125238800,322444767,2677300,43597112,558165611
9,2022-10-31,TSPC,EQUITY,4509864300.0,1360,546300,1036090818,0,10000,149692942,899800,8401929,0,0,1195641789,0,23391050,739800,39176525,801600,123057300,322373167,2677300,43047269,555264011
10,2022-11-30,TSPC,EQUITY,4509864300.0,1375,546300,1039351818,0,10000,153843842,899800,8450029,0,0,1203101789,0,23394350,897700,37503631,805600,118479000,323129267,2677300,40998163,547885011
11,2022-12-30,TSPC,EQUITY,4509864300.0,1410,546300,1046285318,0,10000,153499842,1000300,8404429,0,0,1209746189,0,23394350,897700,27153783,795600,116213100,323331067,2677300,46795211,541258111
12,2023-01-31,TSPC,EQUITY,4509864300.0,1405,546300,1058212018,0,10000,148405842,1280300,7004529,0,0,1215458989,0,23394350,1064000,26456083,1399000,113064200,322704467,2677300,44878911,535638311
13,2023-02-28,TSPC,EQUITY,4509864300.0,1390,546300,1060718718,0,10000,149129642,1237700,6853029,0,0,1218495389,0,23394350,1129800,27486183,1783700,111993100,321465667,2677300,42692011,532622111
14,2023-03-31,TSPC,EQUITY,4509864300.0,1405,546300,1065977718,0,10000,155132942,1262000,6554029,0,0,1229482989,0,23394350,1206600,27467983,563800,109646700,317376367,2677300,39301411,521634511
15,2023-04-28,TSPC,EQUITY,4509864300.0,1400,546300,1077534718,0,10000,171394942,1700700,7361129,0,0,1258547789,0,21873250,1146800,23307683,555400,98860200,310532167,2677300,33976911,492929711
16,2023-05-31,TSPC,EQUITY,4509864300.0,1455,613900,1104746618,0,10000,229789642,2125700,7686229,0,0,1344972089,0,6455650,3693500,47799683,564300,58259000,279875467,2436800,7426611,406511011
17,2023-06-27,TSPC,EQUITY,4509864300.0,1640,615900,1114281018,0,10000,239498542,2828400,7514329,120000,0,1364868189,0,3008450,3693500,55619983,511400,40724300,273792167,2436800,1780311,381566911
18,2023-07-31,TSPC,EQUITY,4509864300.0,1695,886300,1116662218,0,10000,244474142,2940700,8946829,0,0,1373920189,0,3093450,3931107,48339583,661400,38646000,273814467,1595000,2548204,372629211
19,2023-08-31,TSPC,EQUITY,4509864300.0,1800,1055100,1124609718,0,10000,240050242,3198900,7724329,0,0,1376648289,0,3210750,5037507,43652283,660500,39304600,273949667,1595000,2659504,370069811
