,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-02-29,UNTD,EQUITY,6666666700.0,181,0,731868900,0,0,904896100,0,0,0,0,1636765000,0,0,0,152300,29749400,0,0,0,0,29901700
1,2024-03-28,UNTD,EQUITY,6666666700.0,173,0,853189200,0,0,775025200,0,0,200,0,1628214600,0,0,0,7880400,29671300,0,900400,0,0,38452100
2,2024-04-30,UNTD,EQUITY,6666666700.0,129,0,815521200,0,0,811475000,0,0,200,0,1626996400,0,722500,0,8665900,29670400,0,611500,0,0,39670300
3,2024-05-31,UNTD,EQUITY,6666666700.0,121,0,797950700,0,0,829036200,0,0,200,0,1626987100,0,2147800,0,8597800,26557600,0,2376400,0,0,39679600
4,2024-06-28,UNTD,EQUITY,6666666700.0,124,0,797860700,0,0,826168000,0,0,200,0,1624028900,0,118300,0,16084700,25129500,0,1305300,0,0,42637800
5,2024-07-31,UNTD,EQUITY,6666666700.0,121,0,798033400,0,0,824821800,0,0,200,0,1622855400,0,0,0,18681800,25129500,0,0,0,0,43811300
6,2024-08-30,UNTD,EQUITY,6666666700.0,130,0,797799900,0,0,824610900,0,0,200,0,1622411000,0,0,0,18883200,25140500,0,232000,0,0,44255700
7,2024-09-30,UNTD,EQUITY,6666666700.0,123,0,798040700,0,0,821467900,0,0,200,0,1619508800,0,145500,0,21685900,25125500,0,201000,0,0,47157900
8,2024-10-31,UNTD,EQUITY,6666666700.0,119,0,796315500,0,0,825036600,0,0,200,0,1621352300,0,14100,0,19973800,25124500,0,202000,0,0,45314400
9,2024-11-29,UNTD,EQUITY,6666666700.0,107,0,796909200,0,0,830976000,0,0,200,0,1627885400,0,0,0,13660000,25121300,0,0,0,0,38781300
10,2024-12-30,UNTD,EQUITY,6666666700.0,91,0,796973800,0,0,840296700,0,0,200,0,1637270700,0,0,0,4274700,25121300,0,0,0,0,29396000
