,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,14392,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,USD-EMIN02XXMF,TERM NOTES,15000000.0,14369,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,14357,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,USD-EMIN02XXMF,TERM NOTES,15000000.0,14480,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,14592,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,USD-EMIN02XXMF,TERM NOTES,15000000.0,14882,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,USD-EMIN02XXMF,TERM NOTES,15000000.0,14860,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,14853,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,USD-EMIN02XXMF,TERM NOTES,15000000.0,15232,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,15596,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,USD-EMIN02XXMF,TERM NOTES,15000000.0,15742,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,USD-EMIN02XXMF,TERM NOTES,15000000.0,15592,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,14992,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,USD-EMIN02XXMF,TERM NOTES,15000000.0,15240,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,14977,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,USD-EMIN02XXMF,TERM NOTES,15000000.0,14661,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,15003,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,USD-EMIN02XXMF,TERM NOTES,15000000.0,15000,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,15092,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,15237,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,USD-EMIN02XXMF,TERM NOTES,15000000.0,15487,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,15897,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,USD-EMIN02XXMF,TERM NOTES,15000000.0,15484,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,USD-EMIN02XXMF,TERM NOTES,15000000.0,15439,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,USD-EMIN02XXMF,TERM NOTES,15000000.0,15803,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,USD-EMIN02XXMF,TERM NOTES,15000000.0,15715,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
26,2024-03-28,USD-EMIN02XXMF,TERM NOTES,15000000.0,15873,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
27,2024-04-30,USD-EMIN02XXMF,TERM NOTES,15000000.0,16276,15000000,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0
