,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,USD-NICE02XXMF,TERM NOTES,50000000.0,14392,33500000,500000,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
1,2022-02-25,USD-NICE02XXMF,TERM NOTES,50000000.0,14369,34000000,0,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
2,2022-03-31,USD-NICE02XXMF,TERM NOTES,50000000.0,14357,34000000,0,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
3,2022-04-28,USD-NICE02XXMF,TERM NOTES,50000000.0,14480,34000000,0,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
4,2022-05-31,USD-NICE02XXMF,TERM NOTES,50000000.0,14592,34000000,0,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
5,2022-06-30,USD-NICE02XXMF,TERM NOTES,50000000.0,14882,34000000,0,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
6,2022-07-29,USD-NICE02XXMF,TERM NOTES,50000000.0,14860,34000000,0,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
7,2022-08-31,USD-NICE02XXMF,TERM NOTES,50000000.0,14853,27000000,7000000,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
8,2022-09-30,USD-NICE02XXMF,TERM NOTES,50000000.0,15232,27000000,7000000,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
9,2022-10-31,USD-NICE02XXMF,TERM NOTES,50000000.0,15596,27000000,7000000,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
10,2022-11-30,USD-NICE02XXMF,TERM NOTES,50000000.0,15742,27000000,7000000,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
11,2022-12-30,USD-NICE02XXMF,TERM NOTES,50000000.0,15592,27000000,7000000,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
12,2023-01-31,USD-NICE02XXMF,TERM NOTES,50000000.0,14992,28200000,7000000,0,0,0,0,2000000,0,0,37200000,0,0,0,0,0,0,0,0,12800000,12800000
13,2023-02-28,USD-NICE02XXMF,TERM NOTES,50000000.0,15240,27000000,7000000,0,0,0,0,2000000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
14,2023-03-31,USD-NICE02XXMF,TERM NOTES,50000000.0,14977,26500000,7000000,0,0,700000,0,1800000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
15,2023-04-28,USD-NICE02XXMF,TERM NOTES,50000000.0,14661,26500000,7000000,0,0,1200000,0,1300000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
16,2023-05-31,USD-NICE02XXMF,TERM NOTES,50000000.0,15003,26500000,7000000,0,0,2300000,0,200000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
17,2023-06-27,USD-NICE02XXMF,TERM NOTES,50000000.0,15000,26500000,7000000,0,0,2300000,0,200000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
18,2023-07-31,USD-NICE02XXMF,TERM NOTES,50000000.0,15092,26500000,7000000,0,0,2300000,0,14200000,0,0,50000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,USD-NICE02XXMF,TERM NOTES,50000000.0,15237,25300000,7000000,0,0,2300000,0,1400000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
20,2023-09-29,USD-NICE02XXMF,TERM NOTES,50000000.0,15487,25300000,7000000,0,0,2300000,0,1400000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
21,2023-10-31,USD-NICE02XXMF,TERM NOTES,50000000.0,15897,25300000,7000000,0,0,2300000,0,1400000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
22,2023-11-30,USD-NICE02XXMF,TERM NOTES,50000000.0,15484,25300000,7000000,0,0,2300000,0,1400000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
23,2023-12-29,USD-NICE02XXMF,TERM NOTES,50000000.0,15439,25300000,7000000,0,0,2300000,0,1400000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
24,2024-01-31,USD-NICE02XXMF,TERM NOTES,50000000.0,15803,25300000,7000000,0,0,2300000,0,1400000,0,0,36000000,0,0,0,0,0,0,0,0,14000000,14000000
