,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,USD-OPPM17XXMF,TERM NOTES,2275000.0,14392,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
1,2022-02-25,USD-OPPM17XXMF,TERM NOTES,2275000.0,14369,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
2,2022-03-31,USD-OPPM17XXMF,TERM NOTES,2275000.0,14357,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
3,2022-04-28,USD-OPPM17XXMF,TERM NOTES,2275000.0,14480,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
4,2022-05-31,USD-OPPM17XXMF,TERM NOTES,2275000.0,14592,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
5,2022-06-30,USD-OPPM17XXMF,TERM NOTES,2275000.0,14882,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
6,2022-07-29,USD-OPPM17XXMF,TERM NOTES,2275000.0,14860,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
7,2022-08-31,USD-OPPM17XXMF,TERM NOTES,2275000.0,14853,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
8,2022-09-30,USD-OPPM17XXMF,TERM NOTES,2275000.0,15232,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
9,2022-10-31,USD-OPPM17XXMF,TERM NOTES,2275000.0,15596,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
10,2022-11-30,USD-OPPM17XXMF,TERM NOTES,2275000.0,15742,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
11,2022-12-30,USD-OPPM17XXMF,TERM NOTES,2275000.0,15592,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
12,2023-01-31,USD-OPPM17XXMF,TERM NOTES,2275000.0,14992,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
13,2023-02-28,USD-OPPM17XXMF,TERM NOTES,2275000.0,15240,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
14,2023-03-31,USD-OPPM17XXMF,TERM NOTES,2275000.0,14977,0,0,0,0,2075000,0,0,0,0,2075000,0,0,0,200000,0,0,0,0,0,200000
