,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-02-28,VAST-W,WARRANT,130000000.0,11,0,3800,0,0,129962460,0,9540,0,0,129975800,0,0,0,0,24200,0,0,0,0,24200
1,2023-03-31,VAST-W,WARRANT,130000000.0,13,0,1000,0,0,129972680,0,2160,0,0,129975840,0,0,0,0,24160,0,0,0,0,24160
2,2023-04-28,VAST-W,WARRANT,130000000.0,10,0,1000,0,0,129973940,0,1500,100,0,129976540,0,0,0,0,23460,0,0,0,0,23460
3,2023-05-31,VAST-W,WARRANT,130000000.0,7,0,1000,0,0,129974720,0,1560,260,0,129977540,0,0,0,0,22460,0,0,0,0,22460
4,2023-06-27,VAST-W,WARRANT,130000000.0,9,0,1000,0,0,129975300,0,980,260,0,129977540,0,0,0,0,22460,0,0,0,0,22460
5,2023-07-31,VAST-W,WARRANT,130000000.0,10,0,1000,0,0,129975880,0,960,400,0,129978240,0,0,0,0,21760,0,0,0,0,21760
6,2023-08-31,VAST-W,WARRANT,129997159.0,11,0,1000,0,0,129972119,0,1760,480,40,129975399,0,0,0,0,21760,0,0,0,0,21760
7,2023-09-29,VAST-W,WARRANT,129995839.0,10,0,1000,0,0,129971079,0,1260,500,240,129974079,0,0,0,0,21760,0,0,0,0,21760
8,2023-10-31,VAST-W,WARRANT,129994355.0,9,0,1000,0,0,129970335,0,1380,580,0,129973295,0,0,0,0,21060,0,0,0,0,21060
9,2023-11-30,VAST-W,WARRANT,129993573.0,8,0,1000,0,0,129969853,0,980,680,0,129972513,0,0,0,0,21060,0,0,0,0,21060
10,2023-12-29,VAST-W,WARRANT,129992553.0,7,0,1000,0,0,129971653,0,940,680,20,129974293,0,0,0,0,18260,0,0,0,0,18260
11,2024-01-31,VAST-W,WARRANT,129991690.0,7,0,1000,0,0,129969730,0,1880,780,40,129973430,0,0,0,0,18260,0,0,0,0,18260
12,2024-02-29,VAST-W,WARRANT,129991229.0,5,0,1000,0,0,129970649,0,540,780,0,129972969,0,0,0,0,18260,0,0,0,0,18260
13,2024-03-28,VAST-W,WARRANT,129990868.0,5,0,1000,0,0,129970248,0,580,780,0,129972608,0,0,0,0,18260,0,0,0,0,18260
14,2024-04-30,VAST-W,WARRANT,129990668.0,6,0,1000,0,0,129969899,0,720,780,9,129972408,0,0,0,0,18260,0,0,0,0,18260
15,2024-05-31,VAST-W,WARRANT,129990059.0,6,0,1000,0,0,129969599,0,420,780,0,129971799,0,0,0,0,18260,0,0,0,0,18260
16,2024-06-28,VAST-W,WARRANT,129989918.0,6,0,1000,0,0,129969478,0,380,780,20,129971658,0,0,0,0,18260,0,0,0,0,18260
17,2024-07-31,VAST-W,WARRANT,129989436.0,5,0,1000,0,0,129968516,0,520,780,360,129971176,0,0,0,0,18260,0,0,0,0,18260
18,2024-08-30,VAST-W,WARRANT,129988656.0,4,0,1000,0,0,129968156,0,380,800,60,129970396,0,0,0,0,18260,0,0,0,0,18260
19,2024-09-30,VAST-W,WARRANT,129988336.0,7,0,1000,0,0,129967076,0,280,1720,0,129970076,0,0,0,0,18260,0,0,0,0,18260
20,2024-10-31,VAST-W,WARRANT,129987957.0,7,0,1000,0,0,129964677,0,440,3580,0,129969697,0,0,0,0,18260,0,0,0,0,18260
21,2024-11-29,VAST-W,WARRANT,129987457.0,7,0,1000,0,0,129963057,0,420,4660,60,129969197,0,0,0,0,18260,0,0,0,0,18260
22,2024-12-30,VAST-W,WARRANT,129986177.0,6,0,1000,0,0,129961097,0,340,5480,0,129967917,0,0,0,0,18260,0,0,0,0,18260
