,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,VOKS,EQUITY,4155602595.0,179,2670000,256485850,0,11010,1962175430,2950000,90,0,0,2224292380,0,1666511565,0,31138700,1953100,0,197791570,0,0,1897394935
1,2022-02-25,VOKS,EQUITY,4155602595.0,179,2670000,256487750,0,11010,1962249130,2950000,90,0,0,2224367980,0,1666511565,0,31138700,1877500,0,197791570,0,0,1897319335
2,2022-03-31,VOKS,EQUITY,4155602595.0,176,2670000,256485550,0,11010,1962191230,2950000,90,0,0,2224307880,0,1666511565,0,31138700,1937600,0,197791570,0,0,1897379435
3,2022-04-28,VOKS,EQUITY,4155602595.0,175,2670000,256485550,0,11010,1962191230,2950000,90,0,0,2224307880,0,1666511565,0,31138700,1937600,0,197791570,0,0,1897379435
4,2022-05-31,VOKS,EQUITY,4155602595.0,175,2670000,256485550,0,11010,1962160130,2950000,90,0,0,2224276780,0,1666511565,0,31139000,1968400,0,197791570,0,0,1897410535
5,2022-06-30,VOKS,EQUITY,4155602595.0,168,2670000,256485550,0,11010,1962234330,2950000,90,0,0,2224350980,0,1666511565,0,31139100,1894100,0,197791570,0,0,1897336335
6,2022-07-29,VOKS,EQUITY,4155602595.0,168,2670000,256485550,0,11010,1962264230,2950000,90,0,0,2224380880,0,1666510165,0,31139200,1864100,0,197792970,0,0,1897306435
7,2022-08-31,VOKS,EQUITY,4155602595.0,169,2670000,256485550,0,11010,1962238430,2950000,90,0,0,2224355080,0,1666510165,0,31139100,1890000,0,197792970,0,0,1897332235
8,2022-09-30,VOKS,EQUITY,4155602595.0,168,2670000,256485550,0,11010,1962663730,2191300,90,0,0,2224021680,0,1666510165,0,31138900,2223600,0,197792970,0,0,1897665635
9,2022-10-31,VOKS,EQUITY,4155602595.0,145,2670000,256485550,0,11010,1963836530,900700,90,0,0,2223903880,0,1666510165,0,31161700,2318600,0,197792970,0,0,1897783435
10,2022-11-30,VOKS,EQUITY,4155602595.0,146,2670000,256485550,0,11010,1937925530,850700,25991090,0,0,2223933880,0,1666510165,0,31161700,2288600,0,197792970,0,0,1897753435
11,2022-12-30,VOKS,EQUITY,4155602595.0,139,2670000,256485550,0,11010,1937709130,800700,25991090,0,157200,2223824680,0,1666510165,0,31270900,2288600,0,197792970,0,0,1897862635
12,2023-01-31,VOKS,EQUITY,4155602595.0,139,2670000,256485550,0,11010,1938546630,0,25991090,0,157200,2223861480,0,1666510165,0,31270900,2251800,0,197792970,0,0,1897825835
13,2023-02-28,VOKS,EQUITY,4155602595.0,163,2670000,256485550,0,11010,1938740430,0,25991090,0,0,2223898080,0,1666510165,0,31271000,2215100,0,197792970,0,0,1897789235
14,2023-03-31,VOKS,EQUITY,4155602595.0,190,2670000,256485550,0,11010,1939183430,0,25991090,0,0,2224341080,0,1666510165,0,31271000,1772100,0,197792970,0,0,1897346235
15,2023-04-28,VOKS,EQUITY,4155602595.0,191,2670000,256042550,0,11010,1941984930,0,24258590,0,0,2224967080,0,1666510165,0,31297000,620100,0,198292970,0,0,1896720235
16,2023-05-31,VOKS,EQUITY,4155602595.0,199,2670000,256042550,0,11010,1941197830,0,22868590,0,0,2222789980,0,1666510165,0,31294100,620100,0,198292970,0,2180000,1898897335
17,2023-06-27,VOKS,EQUITY,4155602595.0,187,2670000,256042550,0,11010,1943651930,0,22676490,0,0,2225051980,0,1666510165,0,31212100,620100,0,198292970,0,0,1896635335
18,2023-07-31,VOKS,EQUITY,4155602595.0,204,2670000,265317950,0,11010,1742399830,0,22676490,0,0,2033075280,0,1666510165,0,17989800,620100,0,403491970,0,0,2088612035
19,2023-08-31,VOKS,EQUITY,4155602595.0,198,2670000,265319050,0,11010,1762974130,0,13176490,0,0,2044150680,0,1666510165,0,7414400,620100,0,402991970,0,0,2077536635
20,2023-09-29,VOKS,EQUITY,4155602595.0,198,2670000,265321250,0,11010,1770231730,0,6000090,0,0,2044234080,0,1666510165,0,7532800,620100,0,402790170,0,0,2077453235
21,2023-10-31,VOKS,EQUITY,4155602595.0,195,2670000,265319150,0,11010,1774043330,0,2338590,0,0,2044382080,0,1666510165,0,7618500,620100,0,402556470,0,0,2077305235
22,2023-11-30,VOKS,EQUITY,4155602595.0,197,2670000,265319150,0,11010,1776458430,0,90,0,0,2044458680,0,1666510165,0,7571900,620100,0,402526470,0,0,2077228635
23,2023-12-29,VOKS,EQUITY,4155602595.0,220,2670000,265319150,0,11010,383007305,0,90,0,0,651007555,0,3452192410,0,7639800,620100,0,10227450,0,0,3470679760
24,2024-01-31,VOKS,EQUITY,4155602595.0,220,2670000,265319050,0,11010,383495405,0,90,100000,0,651595555,0,3452192410,0,7902800,620100,0,9376450,0,0,3470091760
25,2024-02-29,VOKS,EQUITY,4155602595.0,224,2670000,264819050,0,11010,382945305,1355200,90,0,0,651800655,0,3452192410,0,7697700,620100,0,9376450,0,0,3469886660
26,2024-03-28,VOKS,EQUITY,4155602595.0,187,2670000,206544050,0,11010,210490875,0,90,0,0,419716025,0,3725720320,0,1823800,620100,0,800050,0,0,3728964270
27,2024-04-30,VOKS,EQUITY,4155602595.0,173,2670000,206544050,0,11010,210517875,0,90,0,0,419743025,0,3725720320,0,1796800,620100,0,800050,0,0,3728937270
28,2024-05-31,VOKS,EQUITY,4155602595.0,177,2670000,206602050,0,11010,210492075,0,90,0,0,419775225,0,3725720320,0,1764600,620100,0,800050,0,0,3728905070
29,2024-06-28,VOKS,EQUITY,4155602595.0,178,2670000,206628350,0,11010,210479475,0,90,0,0,419788925,0,3725720320,0,1750900,620100,0,800050,0,0,3728891370
30,2024-07-31,VOKS,EQUITY,4155602595.0,180,2670000,206628350,0,11010,210509575,0,90,0,0,419819025,0,3725720320,0,1720800,620100,0,800050,0,0,3728861270
31,2024-08-30,VOKS,EQUITY,4155602595.0,185,2670000,406900650,0,11010,210237975,0,90,0,0,619819725,0,3525720320,0,1720100,620100,0,800050,0,0,3528860570
32,2024-09-30,VOKS,EQUITY,4155602595.0,250,2670000,406965250,0,11010,210348175,0,90,0,0,619994525,0,3525720320,0,1545300,620100,0,800050,0,0,3528685770
33,2024-10-31,VOKS,EQUITY,4155602595.0,210,2670000,406965250,0,11010,210399175,0,90,0,0,620045525,0,2275720320,0,1493900,620500,0,1250800050,0,0,3528634770
34,2024-11-29,VOKS,EQUITY,4155602595.0,324,2670000,406722250,0,11010,210591475,0,90,0,0,619994825,0,2275720320,0,1530000,635100,0,1250800050,0,0,3528685470
35,2024-12-30,VOKS,EQUITY,4155602595.0,230,2670000,406722250,0,11010,210339275,0,90,0,0,619742625,0,2275720320,0,1797100,620200,0,1250800050,0,0,3528937670
