,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,VRNA,EQUITY,5687353997.0,131,0,246746040,61904800,1290090704,114621859,0,2133500,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
1,2022-02-25,VRNA,EQUITY,5687353997.0,116,0,246746040,61904800,1290090704,114621859,0,2133500,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
2,2022-03-31,VRNA,EQUITY,5687353997.0,116,0,247786040,61904800,1290090704,113581859,0,2133500,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
3,2022-04-28,VRNA,EQUITY,5687353997.0,108,0,247786040,61904800,1290090704,115065359,0,650000,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
4,2022-05-31,VRNA,EQUITY,5687353997.0,106,0,247786040,61904800,1290090704,115065359,0,650000,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
5,2022-06-30,VRNA,EQUITY,5687353997.0,106,0,247786040,61904800,1290090704,115065359,0,650000,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
6,2022-07-29,VRNA,EQUITY,5687353997.0,107,0,247786040,61904800,1290090704,115065359,0,650000,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
7,2022-08-31,VRNA,EQUITY,5687353997.0,124,0,247786040,61904800,1290090704,113581859,0,2133500,0,0,1715496903,0,0,0,3836457494,8000,0,0,0,0,3836465494
8,2022-09-30,VRNA,EQUITY,5687353997.0,120,0,247448040,61904800,1290090704,113519359,0,2133500,0,0,1715096403,0,379000,0,3836457494,29500,0,0,0,0,3836865994
9,2022-10-31,VRNA,EQUITY,5687353997.0,126,0,246886040,61904800,1290090704,114179959,0,2133500,0,0,1715195003,0,279400,0,3836457494,30500,0,0,0,0,3836767394
10,2022-11-30,VRNA,EQUITY,5687353997.0,118,0,246886040,61904800,1290090704,114079959,0,2133500,0,0,1715095003,0,279400,0,3836457494,130500,0,0,0,0,3836867394
11,2022-12-30,VRNA,EQUITY,5687353997.0,103,0,246886040,61904800,1290090704,114079959,0,2133500,0,0,1715095003,0,279400,0,3836457494,130500,0,0,0,0,3836867394
12,2023-01-31,VRNA,EQUITY,5687353997.0,95,0,246886040,61904800,1290090704,114079959,0,2133500,0,0,1715095003,0,279400,0,3836457494,130500,0,0,0,0,3836867394
13,2023-02-28,VRNA,EQUITY,5687353997.0,107,0,246886040,61904800,1290064004,114097559,0,2133500,0,0,1715085903,0,279400,0,3836457594,139500,0,0,0,0,3836876494
14,2023-03-31,VRNA,EQUITY,5687353997.0,91,0,246886040,61904800,1290064004,114084259,0,2133500,0,0,1715072603,0,279400,0,3836479894,130500,0,0,0,0,3836889794
