,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,WIFI-W,WARRANT,248446314.0,200,0,168852960,0,0,44139854,35453500,0,0,0,248446314,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,WIFI-W,WARRANT,248446314.0,174,0,168852960,0,0,44139854,35453500,0,0,0,248446314,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,WIFI-W,WARRANT,248446313.0,165,0,168852960,0,0,44139213,35453500,0,0,640,248446313,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,WIFI-W,WARRANT,248446313.0,134,0,168852960,0,0,44139213,35453500,0,0,640,248446313,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,WIFI-W,WARRANT,248446313.0,114,0,168852960,0,0,44139213,35453500,0,0,640,248446313,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,WIFI-W,WARRANT,248446313.0,84,0,168852960,0,0,44565613,35027100,0,0,640,248446313,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,WIFI-W,WARRANT,248446313.0,80,0,168852960,0,0,44648413,34944300,0,0,640,248446313,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,WIFI-W,WARRANT,248446313.0,99,0,168852960,0,0,45192053,34400600,60,0,640,248446313,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,WIFI-W,WARRANT,248446313.0,69,0,168852960,0,0,46748253,32844400,60,0,640,248446313,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,WIFI-W,WARRANT,248446313.0,83,0,168852960,0,0,48797453,30795200,60,0,640,248446313,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,WIFI-W,WARRANT,248446313.0,61,0,168852960,0,0,50917153,28675500,60,0,640,248446313,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,WIFI-W,WARRANT,248446313.0,40,0,168852960,0,0,54372253,25220400,60,0,640,248446313,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,WIFI-W,WARRANT,248446313.0,23,0,168852960,0,0,60078753,19513900,60,0,640,248446313,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,WIFI-W,WARRANT,248446313.0,15,0,88033560,0,0,146812053,13600000,60,0,640,248446313,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,WIFI-W,WARRANT,248446312.0,12,0,88033560,0,0,150612052,9800000,60,0,640,248446312,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,WIFI-W,WARRANT,248446312.0,14,0,88033560,0,0,156862052,3550000,60,0,640,248446312,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,WIFI-W,WARRANT,248446312.0,14,0,88733560,0,0,159711992,0,120,0,640,248446312,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,WIFI-W,WARRANT,248446212.0,11,0,72237460,0,0,176207992,0,120,0,640,248446212,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,WIFI-W,WARRANT,248416212.0,6,0,11497560,0,0,236917892,0,120,0,640,248416212,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,WIFI-W,WARRANT,248416112.0,9,0,9997560,0,0,238417792,0,120,0,640,248416112,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,WIFI-W,WARRANT,248416102.0,7,0,10630460,0,0,237784882,0,120,0,640,248416102,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,WIFI-W,WARRANT,248416102.0,7,0,60,0,0,196717782,0,120,0,640,196718602,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,WIFI-W,WARRANT,144412482.0,6,0,40,0,0,144411622,0,180,0,640,144412482,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,WIFI-W,WARRANT,144412482.0,1,0,40,0,0,144411622,0,180,0,640,144412482,0,0,0,0,0,0,0,0,0,0
