,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,WIFI,EQUITY,2050292286.0,610,0,1669803800,0,0,253886886,37700400,600000,0,0,1961991086,0,860000,0,55985800,1945000,8430000,8680400,0,5650000,81551200
1,2022-02-25,WIFI,EQUITY,2050292286.0,500,0,1678235300,0,0,253433386,33655000,1057500,0,0,1966381186,0,860000,0,53270700,1920000,8430000,7030400,0,5650000,77161100
2,2022-03-31,WIFI,EQUITY,2050292287.0,505,0,1682858800,0,0,253286787,32046900,890000,0,0,1969082487,0,860000,0,50589400,1900000,8430000,7030400,0,5650000,74459800
3,2022-04-28,WIFI,EQUITY,2050292287.0,368,0,1634045500,0,0,303260987,31957500,890000,0,0,1970153987,0,860000,0,49319900,2008000,8430000,7030400,0,5740000,73388300
4,2022-05-31,WIFI,EQUITY,2050292287.0,330,0,1561254000,0,0,378906187,31871900,900000,0,0,1972932087,0,860000,0,48041800,2008000,8430000,5530400,0,5740000,70610200
5,2022-06-30,WIFI,EQUITY,2050292287.0,302,0,1452179200,0,0,395883587,31372600,94650000,0,0,1974085387,0,860000,0,48388500,2008000,8430000,4030400,0,5740000,69456900
6,2022-07-29,WIFI,EQUITY,2050292287.0,268,0,1428180900,0,0,424121387,29949100,94650000,0,0,1976901387,0,0,0,48893000,2457500,8430000,1120400,0,5740000,66640900
7,2022-08-31,WIFI,EQUITY,2050292287.0,244,0,1416660312,0,0,436007075,28278200,94650000,0,0,1975595587,0,2774000,0,46852800,3029500,8430000,1120400,0,5740000,67946700
8,2022-09-30,WIFI,EQUITY,2050292287.0,224,0,1484507312,0,0,464087175,26217800,850100,0,0,1975662387,0,0,0,43022000,2567500,8430000,1120400,0,12740000,67879900
9,2022-10-31,WIFI,EQUITY,2050292287.0,202,0,1309291012,0,0,542889375,24262400,72485000,0,15000,1948942787,0,0,0,67216100,3093000,9280000,1120400,0,13890000,94599500
10,2022-11-30,WIFI,EQUITY,2255321287.0,166,0,1379585812,0,0,682970675,21947200,77465000,0,15000,2161983687,0,0,0,59752700,2544500,9280000,1120400,0,13890000,86587600
11,2022-12-30,WIFI,EQUITY,2255321287.0,130,0,1327662412,0,0,729015875,19087400,93685000,0,15000,2169465687,0,0,0,50275700,4539500,9280000,1120400,0,13890000,79105600
12,2023-01-31,WIFI,EQUITY,2255321287.0,127,0,1275943512,0,0,740877175,15833000,150873400,0,15000,2183542087,0,0,0,42904300,3584500,9280000,1120400,0,8140000,65029200
13,2023-02-28,WIFI,EQUITY,2255321287.0,144,0,1295232512,0,0,794671775,12069100,97035400,0,15000,2199023787,0,0,0,36365100,626500,9280000,1235900,0,2040000,49547500
14,2023-03-31,WIFI,EQUITY,2255321288.0,166,0,1305866912,0,0,729971776,8689500,97248400,0,15000,2141791588,0,0,0,93075100,1154100,9280000,1230500,0,2040000,106779700
15,2023-04-28,WIFI,EQUITY,2255321288.0,214,0,1220195812,0,0,796855476,6200000,97303400,0,15000,2120569688,0,10689800,0,103718600,1439700,9280000,833500,0,2040000,128001600
