,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-01-31,WINE,EQUITY,2710000000.0,342,0,182113200,0,0,315960100,0,0,0,10000,498083300,0,7751900,0,56412200,49500,0,115703100,0,0,179916700
1,2023-02-28,WINE,EQUITY,2710000000.0,328,0,227685200,0,0,268642400,0,0,0,0,496327600,0,7751900,0,62890400,48700,0,110981400,0,0,181672400
2,2023-03-31,WINE,EQUITY,2710000000.0,550,0,201696700,0,0,263269600,0,0,0,0,464966300,0,8025900,0,77870100,41200,15000000,112096500,0,0,213033700
3,2023-04-28,WINE,EQUITY,2710000000.0,496,0,201403900,0,0,257490200,0,0,0,0,458894100,0,7752000,0,85669000,39200,15000000,110645700,0,0,219105900
4,2023-05-31,WINE,EQUITY,2710000000.0,540,0,201403900,0,0,187884400,0,0,0,0,389288300,0,7751900,0,83402600,1143900,15000000,181413300,0,0,288711700
5,2023-06-27,WINE,EQUITY,2710000000.0,590,0,201403900,0,0,183360500,0,0,0,10000,384774400,0,7751900,0,87122000,478900,15000000,182872800,0,0,293225600
6,2023-07-31,WINE,EQUITY,2710000000.0,540,0,199403900,0,0,184500500,0,0,0,10000,383914400,0,7751900,0,84832400,2673500,15000000,183827800,0,0,294085600
7,2023-08-31,WINE,EQUITY,2710000000.0,484,0,199173800,0,0,183260800,0,0,0,10000,382444600,0,7751900,0,83402000,2553200,15000000,186848300,0,0,295555400
8,2023-09-29,WINE,EQUITY,2710000000.0,575,0,201749600,0,0,203933200,0,0,0,10000,405692800,0,7768700,0,55526000,2664200,15000000,191348300,0,0,272307200
9,2023-10-31,WINE,EQUITY,2710000000.0,478,0,198082300,0,0,219720100,0,0,0,10000,417812400,0,7751900,0,58244700,2792700,15000000,176398300,0,0,260187600
10,2023-11-30,WINE,EQUITY,2710000000.0,482,0,198082300,0,0,205989900,0,0,0,10000,404082200,0,7751900,0,71974900,2792700,15000000,176398300,0,0,273917800
11,2023-12-29,WINE,EQUITY,2710000000.0,420,0,198082300,0,0,210863300,0,0,0,10000,408955600,0,5551900,0,69255800,2838400,15000000,176398300,0,0,269044400
12,2024-01-31,WINE,EQUITY,2710000000.0,422,0,193724800,0,0,217013400,0,0,0,10000,410748200,0,2051900,0,70860700,2840900,15000000,176498300,0,0,267251800
13,2024-02-29,WINE,EQUITY,2710000000.0,400,0,193362400,0,0,216908400,0,0,0,10000,410280800,0,2051900,0,71328100,2840900,15000000,176498300,0,0,267719200
14,2024-03-28,WINE,EQUITY,2710000000.0,370,0,192922500,0,0,218244600,0,0,0,10000,411177100,0,2051900,0,70431800,2840900,15000000,176498300,0,0,266822900
15,2024-04-30,WINE,EQUITY,2710000000.0,302,0,192738300,0,0,218728100,0,0,0,10000,411476400,0,2051900,0,70130500,2842900,15000000,176498300,0,0,266523600
16,2024-05-31,WINE,EQUITY,2710000000.0,308,0,190838300,0,0,218772200,0,0,0,10000,409620500,0,2051900,0,71986400,2842900,15000000,176498300,0,0,268379500
17,2024-06-28,WINE,EQUITY,2710000000.0,298,0,190888300,0,0,218812000,0,0,0,10000,409710300,0,2051900,0,71896600,2842900,15000000,176498300,0,0,268289700
18,2024-07-31,WINE,EQUITY,2710000000.0,314,0,190888300,0,0,219334500,0,0,0,10000,410232800,0,2051900,0,71312400,2904600,15000000,176498300,0,0,267767200
19,2024-08-30,WINE,EQUITY,2710000000.0,290,0,190888300,0,0,219625900,0,0,0,10000,410524200,0,2051900,0,71053700,2871900,15000000,176498300,0,0,267475800
20,2024-09-30,WINE,EQUITY,2710000000.0,358,0,190888300,0,0,216540400,0,0,0,10000,407438700,0,2051900,0,71118200,2892900,15000000,179498300,0,0,270561300
21,2024-10-31,WINE,EQUITY,2710000000.0,364,0,187931600,0,0,216572000,0,0,0,10000,404513600,0,2051900,0,73585200,2892900,15000000,179956400,0,0,273486400
22,2024-11-29,WINE,EQUITY,2710000000.0,350,0,187748500,0,0,214641700,0,0,0,10000,402400200,0,2051900,0,73752100,2897900,15000000,181897900,0,0,275599800
23,2024-12-30,WINE,EQUITY,2710000000.0,300,0,187638500,0,0,213977300,0,0,0,10000,401625800,0,2051900,0,72826100,2897900,15000000,183598300,0,0,276374200
