,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,WOOD,EQUITY,6362500000.0,780,306264400,1463180600,24195400,0,145470517,324684172,992932,3801100,1373600,2269962721,0,22912200,463700,36259200,2795900,322554500,12734161,0,217317618,615037279
1,2022-02-25,WOOD,EQUITY,6362500000.0,740,305963800,1473030400,22623600,0,174655817,297678812,1826092,3317300,1523600,2280619421,0,22557900,463700,27252100,2795900,318282800,13530561,0,219497618,604380579
2,2022-03-31,WOOD,EQUITY,6362500000.0,745,309871600,1500649400,21746400,0,206218017,256271132,2546072,0,1273600,2298576221,0,20733200,463700,18729500,2791600,309200800,15217661,0,219287318,586423779
3,2022-04-28,WOOD,EQUITY,6362500000.0,700,308001000,1535642700,21467400,0,212729717,224665481,2458223,0,1273600,2306238121,0,12956700,463700,17914700,2791600,310200800,15147061,0,219287318,578761879
4,2022-05-31,WOOD,EQUITY,6362500000.0,690,301102500,1551743400,21384900,0,215574017,189602781,3101923,0,1273600,2283783121,0,12956600,463700,15690100,2801600,334143500,15617361,0,219544018,601216879
5,2022-06-30,WOOD,EQUITY,6362500000.0,610,273175500,1557055000,21283800,0,276405617,141646081,3601023,0,294100,2273461121,0,12957900,3005400,15432400,2801200,337898200,18627061,0,220816718,611538879
6,2022-07-29,WOOD,EQUITY,6362500000.0,605,269755800,1557187500,20898600,0,348307317,61567200,5311004,0,294100,2263321521,0,14281700,6024600,18749600,2798800,338845700,19572661,944100,220461318,621678479
7,2022-08-31,WOOD,EQUITY,6437500000.0,515,240939700,1558819000,20732100,0,494717617,50985600,5261004,0,294100,2371749121,0,14186100,4307900,26582100,3040800,298956000,19772561,944100,220461318,588250879
8,2022-09-30,WOOD,EQUITY,6437500000.0,505,227445000,1582994100,23472400,0,601189817,72663600,5419304,0,294100,2513478321,0,14272400,463700,33924600,3045800,150047400,20991661,0,223776118,446521679
9,2022-10-31,WOOD,EQUITY,6437500000.0,432,190304200,1584951100,23461400,0,686579917,76483400,5265904,0,294100,2567340021,0,14077400,463700,16965500,3734100,118697500,14945661,0,223776118,392659979
10,2022-11-30,WOOD,EQUITY,6437500000.0,386,187514900,1616268200,23461400,0,692425817,65921700,4287404,0,304100,2590183521,0,12707400,463700,34340500,6391400,59961600,15175761,0,240776118,369816479
11,2022-12-30,WOOD,EQUITY,6437500000.0,362,176268800,1639348600,20764100,0,703311417,67936700,4526604,0,4804100,2616960321,0,3526600,463700,12959400,7076500,62961600,15275761,0,240776118,343039679
12,2023-01-31,WOOD,EQUITY,6437500000.0,360,181784800,1639050000,19990600,0,717145417,56727100,4026604,0,304100,2619028621,0,2963400,463700,11676100,6854700,62961600,15275761,0,240776118,340971379
13,2023-02-28,WOOD,EQUITY,6437500000.0,402,184755300,1658511800,19644200,0,705797317,55585300,3715604,0,304100,2628313621,0,2663900,463700,10708300,6318100,62961600,15275761,0,233295018,331686379
14,2023-03-31,WOOD,EQUITY,6437500000.0,400,190906200,1709273100,21295500,0,649833117,55881300,3715604,533600,304100,2631742521,0,2653200,463700,13184700,5423500,57961600,15275761,0,233295018,328257479
15,2023-04-28,WOOD,EQUITY,6437500000.0,420,190737200,1755584400,21295500,0,612370317,53485300,3495604,0,294100,2637262421,0,2232800,463700,13427600,5243000,54961600,15275761,0,231133118,322737579
16,2023-05-31,WOOD,EQUITY,6437500000.0,408,190737200,1807508900,18725700,0,571565917,51185300,3025604,0,294100,2643042721,0,2232800,463700,11203100,2959000,54149600,14815961,0,231133118,316957279
17,2023-06-27,WOOD,EQUITY,6437500000.0,404,190737200,1810034800,18725700,0,566794417,51185300,3115604,0,294100,2640887121,0,2232800,463700,10126800,2909000,54149600,18097861,0,231133118,319112879
18,2023-07-31,WOOD,EQUITY,6437500000.0,440,183918800,1810059100,18410400,0,574118617,51435300,3327804,0,294100,2641564121,0,2232800,463700,8750800,3508000,54149600,18097861,0,231233118,318435879
19,2023-08-31,WOOD,EQUITY,6437500000.0,460,186067700,1827915200,20806100,0,552270117,46307800,3327804,0,294100,2636988821,0,2283900,463700,8661000,3563700,53957900,22847861,0,231233118,323011179
20,2023-09-29,WOOD,EQUITY,6437500000.0,452,190811200,1836235100,14846800,0,544779317,48608800,3105604,0,294100,2638680921,0,3063600,463700,10952500,3503700,54446800,22847861,0,226040918,321319079
21,2023-10-31,WOOD,EQUITY,6437500000.0,336,191928600,1859294700,14383600,0,560614717,41294900,3105604,0,294100,2670916221,0,2576100,0,9961400,3583700,43746800,23347861,0,205867918,289083779
22,2023-11-30,WOOD,EQUITY,6437500000.0,300,191928600,1859534700,11685200,0,576426817,34045800,3105604,0,294100,2677020821,0,3142700,0,7241500,4455800,41093500,25347861,0,201697818,282979179
23,2023-12-29,WOOD,EQUITY,6437500000.0,288,137667000,1859634700,9199800,0,653204917,29003000,3105604,0,294100,2692109121,0,2218000,0,2532500,3673800,33593500,27847861,0,198025218,267890879
24,2024-01-31,WOOD,EQUITY,6437500000.0,298,137667000,1872827600,9199800,0,654552417,24578500,3205604,0,294100,2702325021,0,2218000,0,3447300,4573700,45621200,15820161,0,185994618,257674979
25,2024-02-29,WOOD,EQUITY,6437500000.0,348,137667000,1880458300,9199800,0,652632717,24578500,3173504,0,294100,2708003921,0,2218000,0,2700200,2093700,45621200,16515161,0,182847818,251996079
26,2024-03-28,WOOD,EQUITY,6437500000.0,326,139989800,1886476500,9199800,0,655080317,23578500,3105604,0,294100,2717724621,0,2218000,0,2597300,2593700,45003400,16515161,0,173347818,242275379
27,2024-04-30,WOOD,EQUITY,6437500000.0,280,154705000,1887816500,8400000,0,649806617,23578500,3155604,0,294100,2727756321,0,2218000,0,948800,2593700,44296200,16515161,0,165671818,232243679
28,2024-05-31,WOOD,EQUITY,6437500000.0,224,128978800,1887946200,8400000,0,691187417,27835700,3355604,0,294100,2747997821,0,818700,0,1214300,3202900,39436000,16515161,0,150815118,212002179
29,2024-06-28,WOOD,EQUITY,6437500000.0,198,91993100,1918856400,5377700,0,728995617,27835700,3255604,0,294100,2776608221,0,321900,0,2845600,3383500,26061500,22267361,0,128511918,183391779
30,2024-07-31,WOOD,EQUITY,6437500000.0,230,69044600,1924806500,5377700,0,761678817,27964800,3185604,0,294100,2792352121,0,0,0,2498400,3739900,26061500,22315161,0,113032918,167647879
31,2024-08-30,WOOD,EQUITY,6437500000.0,240,55992200,1923967900,570000,0,783484017,27964800,3105604,0,294100,2795378621,0,0,0,3691600,3444900,26061500,25390461,0,106032918,164621379
32,2024-09-30,WOOD,EQUITY,6437500000.0,238,55992200,1923979900,570000,0,781755317,27964800,3205604,0,294100,2793761921,0,0,0,3118300,3634900,26061500,27390461,0,106032918,166238079
33,2024-10-31,WOOD,EQUITY,6437500000.0,314,43635200,1925365800,620000,0,840632217,14974600,5276604,0,294100,2830798521,0,165100,0,2645100,3564900,26061500,27431961,0,69332918,129201479
34,2024-11-29,WOOD,EQUITY,6437500000.0,320,43635200,1910979100,620000,0,856004717,14847100,3516604,0,294100,2829896821,0,814800,0,5781000,3624300,26061500,27788661,0,66032918,130103179
35,2024-12-30,WOOD,EQUITY,6437500000.0,328,39585600,1882202100,620000,0,850122417,11137100,46755804,0,294100,2830717121,0,1596900,0,6625800,524300,26061500,28441461,0,66032918,129282879
