,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-12-29,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,13002781814,78295321928,26005563630,67150080373,1095984046228,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
1,2024-01-31,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
2,2024-02-29,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
3,2024-03-28,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
4,2024-04-30,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
5,2024-05-31,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
6,2024-06-28,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
7,2024-07-31,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
8,2024-08-30,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,67150080373,1095055276098,60984904252,1857540259,0,1393155194444,0,0,0,0,0,0,0,0,0,0
9,2024-09-30,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,70506563727,1091569697230,60984904252,1857540259,129095514,1393155194444,0,0,0,0,0,0,0,0,0,0
10,2024-10-31,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,73120747878,1088955513079,60984904252,1857540259,129095514,1393155194444,0,0,0,0,0,0,0,0,0,0
11,2024-11-29,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,73120747878,1088955513079,60984904252,1857540259,129095514,1393155194444,0,0,0,0,0,0,0,0,0,0
12,2024-12-30,WSBP02CB,CORPORATE BOND,1393155194444.0,1,49874955960,39937115574,78295321928,0,73120747878,1088955513079,60984904252,1857540259,129095514,1393155194444,0,0,0,0,0,0,0,0,0,0
