,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,WTON,EQUITY,8715466600.0,224,447708400,33696200,94280000,0,2125975348,48582591,10360578,12060800,500358249,3273022166,0,4270500,10746400,24772771,2159000,44265300,32722200,0,8185263,127121434
1,2022-02-25,WTON,EQUITY,8715466600.0,214,447708400,41414800,94036100,0,2122884848,48580109,9347360,12060800,498643149,3274675566,0,1870500,10746400,25600471,2161300,44265300,32638800,0,8185263,125468034
2,2022-03-31,WTON,EQUITY,8715466600.0,218,447708400,34087100,93856100,0,2128474348,47854627,14419942,12060800,494299949,3272761266,0,1961600,10746400,27512871,2172100,44265300,32538800,0,8185263,127382334
3,2022-04-28,WTON,EQUITY,8715466600.0,212,447708400,34071600,93856100,0,2149867048,47715492,1977,12060800,490080549,3275361966,0,1870500,10746400,24628271,2372100,44265300,32713800,0,8185263,124781634
4,2022-05-31,WTON,EQUITY,8715466600.0,212,447708400,34056600,93856100,0,2138013448,47837687,9849482,12060800,488444249,3271826766,0,1870500,10746400,24600971,2334600,47965300,32613800,0,8185263,128316834
5,2022-06-30,WTON,EQUITY,8715466600.0,210,447708400,34056600,93856100,0,2142280148,47797273,11241596,12060800,482821149,3271822066,0,1870500,10746400,24729271,2411000,47965300,32413800,0,8185263,128321534
6,2022-07-29,WTON,EQUITY,8715466600.0,204,447708400,34056600,93856100,0,2160516148,47778596,1973,12060800,475753149,3271731766,0,1818400,10746400,24818571,2412000,47965300,32465900,0,8185263,128411834
7,2022-08-31,WTON,EQUITY,8715466600.0,234,446948100,34006700,93856100,0,2133269648,49912302,9500967,12060800,470247249,3249801866,0,1914900,10746400,25682971,23411000,47965300,32435900,0,8185263,150341734
8,2022-09-30,WTON,EQUITY,8715466600.0,214,446448100,28500500,93606100,0,2136978848,48534656,13532287,10785800,467327249,3245713540,0,2920600,10746400,40731571,2405500,47987700,31559100,0,18079189,154430060
9,2022-10-31,WTON,EQUITY,8715466600.0,208,446448100,28400600,87329600,0,2151674648,47034656,14282887,10785800,466992049,3252948340,0,1880000,10746400,34382571,2406500,48035700,31559100,0,18184989,147195260
10,2022-11-30,WTON,EQUITY,8715466600.0,206,444943200,28900500,87329600,0,2173794948,47032174,17105369,10249200,462297249,3271652240,0,1858200,10746400,24234471,2406500,48162900,30877500,0,10205389,128491360
11,2022-12-30,WTON,EQUITY,8715466600.0,191,444943200,21400700,87329600,0,2174288748,47032174,15823970,10025700,468137949,3268982041,0,1900101,12748800,23785470,3259100,48385200,30877500,0,10205388,131161559
12,2023-01-31,WTON,EQUITY,8715466600.0,185,444943200,21406000,86679600,0,2188215448,41208138,15105406,9536100,459233449,3266327341,0,1900101,12748800,23934170,3465100,50685200,30877500,0,10205388,133816259
13,2023-02-28,WTON,EQUITY,8715466600.0,178,444943200,21406000,86112500,0,2172152648,41203174,14496549,9536100,475902949,3265753120,0,1879180,12748800,23746891,3505100,51427600,30877500,0,10205409,134390480
14,2023-03-31,WTON,EQUITY,8715466600.0,168,436903600,21406000,86112500,0,2183569148,37782874,15704049,9536100,472013749,3263028020,0,1879180,12748800,22924891,3505100,51427600,35006500,0,9623509,137115580
15,2023-04-28,WTON,EQUITY,8715466600.0,176,436903600,21435500,86112500,0,2189589748,33832874,15390549,9536100,469686649,3262487520,0,1879180,12748800,24718291,2432900,51427600,35006500,0,9442809,137656080
16,2023-05-31,WTON,EQUITY,8715466600.0,138,436903600,21406800,86112500,0,2230136348,19025200,12498057,8319766,461406249,3275808520,0,1879180,2724900,22411891,2456100,51427600,34206500,0,9228909,124335080
17,2023-06-27,WTON,EQUITY,8715466600.0,141,436903600,21406800,86112500,0,2232517148,19025200,12487777,8362166,459479049,3276294240,0,1200100,2724900,25992871,2412100,48216000,34206500,0,9096889,123849360
18,2023-07-31,WTON,EQUITY,8715466600.0,147,431453600,21406800,85112500,0,2242200848,19025200,13440177,8319766,456415949,3277374840,0,1200100,2724900,22901271,2402100,48216000,34871500,0,10452889,122768760
19,2023-08-31,WTON,EQUITY,8715466600.0,146,431453600,21403500,85212500,0,2254205048,18995800,13448177,8319766,452695149,3285733540,0,1200100,2724900,17079671,2391200,47045800,34871500,0,9096889,114410060
20,2023-09-29,WTON,EQUITY,8715466600.0,146,431453600,21845300,85012500,0,2256825748,18995800,13097477,8319766,451645949,3287196140,0,1299400,2724900,16314171,2391200,46249400,34871500,0,9096889,112947460
21,2023-10-31,WTON,EQUITY,8715466600.0,137,431453600,21403600,84762500,0,2259614248,18939800,13375277,8319766,450918949,3288787740,0,1299400,2002400,12832471,2503900,46249400,37371500,0,9096789,111355860
22,2023-11-30,WTON,EQUITY,8715466600.0,129,431453600,21403600,84612500,0,2261952348,18939800,13658377,8319766,445332949,3285672940,0,1299400,2002400,14831271,2503900,46249400,38487500,0,9096789,114470660
23,2023-12-29,WTON,EQUITY,8715466600.0,108,431453600,21403600,84314000,0,2251843348,18939800,14922193,6449250,450734649,3280060440,0,1299400,2002400,15371771,2503900,53159400,36649500,0,9096789,120083160
24,2024-01-31,WTON,EQUITY,8715466600.0,103,431453600,21328600,84314000,0,2244075548,18839800,32335068,3620475,449298249,3285265340,0,1299400,2002400,15621271,2403900,71254900,13199600,0,9096789,114878260
25,2024-02-29,WTON,EQUITY,8715466600.0,108,431154400,19236300,84014000,0,2201913448,18839800,46556868,3620475,448786149,3254121440,0,1299400,2002400,15673671,2405900,102344400,13199600,0,9096789,146022160
26,2024-03-28,WTON,EQUITY,8715466600.0,102,431154400,19231900,84014000,0,2217112848,18839800,54904068,3620475,448535649,3277413140,0,1299400,2002400,8969171,2411900,85928500,13199600,0,8919489,122730460
27,2024-04-30,WTON,EQUITY,8715466600.0,89,431154400,19231900,84014000,0,2222565848,18839800,56514068,3620475,447715049,3283655540,0,1200100,0,7208671,2413900,85039700,13199600,0,7426089,116488060
28,2024-05-31,WTON,EQUITY,8715466600.0,69,431154400,19198000,84014000,0,2295461948,18839800,12001268,3620475,442204649,3306494540,0,1200100,0,7490871,2493900,65354100,13199600,0,3910489,93649060
29,2024-06-28,WTON,EQUITY,8715466600.0,63,431154400,19198000,83714000,0,2231816245,18839800,70113871,3620475,442067749,3300524540,0,1200100,0,13337871,2826500,65804900,16449600,0,89,99619060
30,2024-07-31,WTON,EQUITY,8715466600.0,81,431154400,19198000,83714000,0,2246231645,18839800,59536771,3620475,441952149,3304247240,0,1200100,0,9680171,2761500,65804900,16449600,0,89,95896360
31,2024-08-30,WTON,EQUITY,8715466600.0,108,402853300,18698000,82874900,0,2294488045,18839800,49991771,3620475,441389049,3312755340,0,1200100,0,10095871,2472700,57169900,16449600,0,89,87388260
32,2024-09-30,WTON,EQUITY,8715466600.0,106,392265100,21940700,82734900,0,2321291645,18789800,28101771,3620475,443605149,3312349540,0,1200100,0,10322771,2451200,57169900,16650000,0,89,87794060
