,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XBSK,MUTUAL FUND,8000000000.0,393,513000000,0,2800000,0,186700,0,213300,0,0,516200000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,XBSK,MUTUAL FUND,8000000000.0,411,487000000,0,1500000,0,199700,0,200300,0,0,488900000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,XBSK,MUTUAL FUND,8000000000.0,423,382000000,0,15000000,0,215400,0,184600,0,0,397400000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,XBSK,MUTUAL FUND,8000000000.0,443,379400000,0,20000000,0,227400,0,172600,0,0,399800000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,XBSK,MUTUAL FUND,8000000000.0,426,289400000,0,26000000,0,238100,0,161900,0,0,315800000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,XBSK,MUTUAL FUND,8000000000.0,420,62400000,0,26000000,0,265700,0,134300,0,0,88800000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,XBSK,MUTUAL FUND,8000000000.0,484,62400000,0,26000000,0,287000,0,113000,0,0,88800000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,XBSK,MUTUAL FUND,8000000000.0,503,62400000,0,26000000,0,305900,0,94100,0,0,88800000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,XBSK,MUTUAL FUND,8000000000.0,456,60000000,0,26000000,0,291700,0,108300,0,0,86400000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,XBSK,MUTUAL FUND,8000000000.0,535,60000000,0,26000000,0,303600,0,96400,0,0,86400000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,XBSK,MUTUAL FUND,8000000000.0,568,60000000,0,26000000,0,387000,0,13000,0,0,86400000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,XBSK,MUTUAL FUND,8000000000.0,462,60000000,0,26000000,0,391700,0,108300,0,0,86500000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,XBSK,MUTUAL FUND,8000000000.0,445,60000000,0,26000000,0,373700,0,126300,0,0,86500000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,XBSK,MUTUAL FUND,8000000000.0,447,60000000,0,26000000,0,350000,0,150000,0,0,86500000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,XBSK,MUTUAL FUND,8000000000.0,467,60000000,0,26000000,0,340600,0,159400,0,0,86500000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,XBSK,MUTUAL FUND,8000000000.0,482,60000000,0,26000000,0,335900,0,164100,0,0,86500000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,XBSK,MUTUAL FUND,8000000000.0,486,60000000,0,26000000,0,335600,0,164400,0,0,86500000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,XBSK,MUTUAL FUND,8000000000.0,491,60000000,0,26000000,0,335500,0,164500,0,0,86500000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,XBSK,MUTUAL FUND,8000000000.0,497,56000000,0,26000000,0,297700,0,202300,0,0,82500000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,XBSK,MUTUAL FUND,8000000000.0,496,56000000,0,26000000,0,279500,0,220500,0,0,82500000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,XBSK,MUTUAL FUND,8000000000.0,491,56000000,0,26000000,0,284300,0,215700,0,0,82500000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,XBSK,MUTUAL FUND,8000000000.0,465,56000000,0,26000000,0,284800,0,215200,0,0,82500000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,XBSK,MUTUAL FUND,8000000000.0,475,56000000,0,26000000,0,292900,0,207100,0,0,82500000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,XBSK,MUTUAL FUND,8000000000.0,488,56000000,0,26000000,0,289800,0,210200,0,0,82500000,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,XBSK,MUTUAL FUND,8000000000.0,497,56000000,0,31000000,0,2189600,0,210400,0,0,89400000,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,XBSK,MUTUAL FUND,8000000000.0,509,56000000,0,31000000,0,2288900,0,211100,0,0,89500000,0,0,0,0,0,0,0,0,0,0
26,2024-03-28,XBSK,MUTUAL FUND,8000000000.0,511,56000000,0,20000000,0,2389900,0,210100,0,0,78600000,0,0,0,0,0,0,0,0,0,0
27,2024-04-30,XBSK,MUTUAL FUND,8000000000.0,477,108700000,0,20000000,0,2492200,0,207800,0,0,131400000,0,0,0,0,0,0,0,0,0,0
28,2024-05-31,XBSK,MUTUAL FUND,8000000000.0,439,230700000,0,20000000,0,2495000,0,205000,0,0,253400000,0,0,0,0,0,0,0,0,0,0
29,2024-06-28,XBSK,MUTUAL FUND,8000000000.0,458,542400000,0,42500000,0,2594800,0,205200,0,0,587700000,0,0,0,0,0,0,0,0,0,0
30,2024-07-31,XBSK,MUTUAL FUND,8000000000.0,465,542400000,0,42500000,0,2737900,0,162100,0,0,587800000,0,0,0,0,0,0,0,0,0,0
31,2024-08-30,XBSK,MUTUAL FUND,8000000000.0,490,820700000,0,27500000,0,2837100,0,162900,0,0,851200000,0,0,0,0,0,0,0,0,0,0
32,2024-09-30,XBSK,MUTUAL FUND,8000000000.0,491,554700000,0,27500000,0,2836500,0,163500,0,0,585200000,0,0,0,0,0,0,0,0,0,0
33,2024-10-31,XBSK,MUTUAL FUND,8000000000.0,484,1164700000,0,27500000,0,2836700,0,163300,0,0,1195200000,0,0,0,0,0,0,0,0,0,0
34,2024-11-29,XBSK,MUTUAL FUND,8000000000.0,453,1669900000,0,27500000,0,2937600,0,162400,0,0,1700500000,0,0,0,0,0,0,0,0,0,0
35,2024-12-30,XBSK,MUTUAL FUND,8000000000.0,437,1705900000,0,27500000,0,2939100,0,160900,0,0,1736500000,0,0,0,0,0,0,0,0,0,0
