,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XCLQ,MUTUAL FUND,2000000000.0,99,0,0,0,0,4383300,0,101116700,0,0,105500000,0,0,0,0,1700000,0,0,0,0,1700000
1,2022-02-25,XCLQ,MUTUAL FUND,2000000000.0,101,0,0,0,0,3987900,0,101112100,0,0,105100000,0,0,0,0,1700000,0,0,0,0,1700000
2,2022-03-31,XCLQ,MUTUAL FUND,2000000000.0,109,0,0,0,0,4180800,0,101119200,0,0,105300000,0,0,0,0,1700000,0,0,0,0,1700000
3,2022-04-28,XCLQ,MUTUAL FUND,2000000000.0,116,0,0,0,0,4379300,0,101120700,0,0,105500000,0,0,0,0,1700000,0,0,0,0,1700000
4,2022-05-31,XCLQ,MUTUAL FUND,2000000000.0,111,0,0,0,0,4356100,0,101030600,22200000,0,127586700,0,0,0,0,1700000,0,313300,0,0,2013300
5,2022-06-30,XCLQ,MUTUAL FUND,2000000000.0,106,0,0,0,0,4444300,0,101012400,22200000,0,127656700,0,0,0,0,1700000,0,443300,0,0,2143300
6,2022-07-29,XCLQ,MUTUAL FUND,2000000000.0,104,0,97000000,0,0,4713200,0,101027600,22200000,0,224940800,0,0,0,0,1700000,0,459200,0,0,2159200
7,2022-08-31,XCLQ,MUTUAL FUND,2000000000.0,107,0,97000000,0,0,4794000,0,101046800,22200000,0,225040800,0,0,0,0,1700000,0,459200,0,0,2159200
8,2022-09-30,XCLQ,MUTUAL FUND,2000000000.0,107,0,97000000,0,0,4485000,0,101055800,22200000,0,224740800,0,0,0,0,1700000,0,459200,0,0,2159200
9,2022-10-31,XCLQ,MUTUAL FUND,2000000000.0,108,0,97000000,0,0,4347300,0,101073000,22200000,0,224620300,0,0,0,0,1700000,0,1079700,0,0,2779700
10,2022-11-30,XCLQ,MUTUAL FUND,2000000000.0,105,0,97000000,0,0,4297000,0,101079700,22200000,0,224576700,0,0,0,0,1700000,0,1523300,0,0,3223300
11,2022-12-30,XCLQ,MUTUAL FUND,2000000000.0,109,0,97000000,0,0,5020500,0,101090200,22200000,0,225310700,0,0,0,0,1700000,0,1889300,0,0,3589300
12,2023-01-31,XCLQ,MUTUAL FUND,2000000000.0,100,0,97000000,0,0,4716400,0,101072000,22200000,0,224988400,0,0,0,0,1700000,0,2211600,0,0,3911600
13,2023-02-28,XCLQ,MUTUAL FUND,2000000000.0,102,0,97000000,0,0,4852400,0,101036000,22200000,0,225088400,0,0,0,0,1700000,0,2211600,0,0,3911600
14,2023-03-31,XCLQ,MUTUAL FUND,2000000000.0,100,0,97000000,0,0,4890600,0,101097800,22200000,0,225188400,0,0,0,0,1700000,0,2211600,0,0,3911600
15,2023-04-28,XCLQ,MUTUAL FUND,2000000000.0,104,0,97000000,0,0,4810700,0,101077700,22200000,0,225088400,0,0,0,0,1700000,0,2211600,0,0,3911600
16,2023-05-31,XCLQ,MUTUAL FUND,2000000000.0,104,0,97000000,0,0,5392700,0,81295700,22200000,0,205888400,0,0,0,0,1700000,0,2211600,0,0,3911600
17,2023-06-27,XCLQ,MUTUAL FUND,2000000000.0,106,0,97000000,0,0,4290800,0,81297600,22200000,0,204788400,0,0,0,0,1700000,0,2211600,0,0,3911600
18,2023-07-31,XCLQ,MUTUAL FUND,2000000000.0,107,0,97000000,0,0,4165800,0,62022600,22200000,0,185388400,0,0,0,0,1700000,0,2211600,0,0,3911600
19,2023-08-31,XCLQ,MUTUAL FUND,2000000000.0,104,0,97000000,0,0,4576600,0,61911800,22200000,0,185688400,0,0,0,0,1700000,0,2211600,0,0,3911600
20,2023-09-29,XCLQ,MUTUAL FUND,2000000000.0,105,0,97000000,0,0,4620700,0,61967700,22200000,0,185788400,0,0,0,0,1700000,0,2211600,0,0,3911600
21,2023-10-31,XCLQ,MUTUAL FUND,2000000000.0,98,0,97000000,0,0,4427300,0,61961100,22200000,0,185588400,0,0,0,0,1700000,0,2211600,0,0,3911600
22,2023-11-30,XCLQ,MUTUAL FUND,2000000000.0,103,0,97000000,0,0,4539200,0,61949200,22200000,0,185688400,0,0,0,0,1700000,0,2211600,0,0,3911600
23,2023-12-29,XCLQ,MUTUAL FUND,2000000000.0,105,0,97000000,0,0,4528800,0,11959600,22200000,0,135688400,0,0,0,0,1700000,0,2211600,0,0,3911600
24,2024-01-31,XCLQ,MUTUAL FUND,2000000000.0,105,0,97000000,0,0,4197400,0,11991000,22200000,0,135388400,0,0,0,0,1700000,0,2211600,0,0,3911600
25,2024-02-29,XCLQ,MUTUAL FUND,2000000000.0,109,0,97000000,0,0,3882400,0,12007600,22200000,0,135090000,0,0,0,0,1700000,0,2210000,0,0,3910000
26,2024-03-28,XCLQ,MUTUAL FUND,2000000000.0,109,0,97000000,0,0,3985900,0,11914100,22200000,0,135100000,0,0,0,0,1700000,0,0,0,0,1700000
27,2024-04-30,XCLQ,MUTUAL FUND,2000000000.0,102,0,97000000,0,0,4292300,0,11907700,22200000,0,135400000,0,0,0,0,1700000,0,0,0,0,1700000
28,2024-05-31,XCLQ,MUTUAL FUND,2000000000.0,100,0,97000000,0,0,4394000,0,11906000,22200000,0,135500000,0,0,0,0,1700000,0,0,0,0,1700000
