,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XIIT,MUTUAL FUND,12500000000.0,537,4389394900,27800000,150800000,0,18003200,0,156100,158000000,0,4744154200,0,27000,0,0,2000,0,416800,0,0,445800
1,2022-02-25,XIIT,MUTUAL FUND,12500000000.0,560,4389394900,27800000,150800000,0,15329800,0,178500,203800000,0,4787303200,0,27000,0,155700,2000,0,412100,0,0,596800
2,2022-03-31,XIIT,MUTUAL FUND,12500000000.0,592,4246994900,21800000,139700000,0,14723700,0,198700,185100000,0,4608517300,0,27000,0,138100,2000,0,415600,0,0,582700
3,2022-04-28,XIIT,MUTUAL FUND,12500000000.0,633,4173494900,21800000,137209700,0,14813062,0,199638,133600000,0,4481117300,0,27000,0,138100,2000,0,415600,0,0,582700
4,2022-05-31,XIIT,MUTUAL FUND,12500000000.0,604,4006894900,21800000,128124100,0,15760462,0,145038,133600000,0,4306324500,0,27000,0,130900,2000,0,615600,0,0,775500
5,2022-06-30,XIIT,MUTUAL FUND,12500000000.0,575,4006894900,21800000,118824100,0,16630562,0,181638,100400000,0,4264731200,0,27000,0,121200,2000,0,618600,0,0,768800
6,2022-07-29,XIIT,MUTUAL FUND,12500000000.0,571,3996894900,21800000,129324100,0,17987560,0,124640,5000000,0,4171131200,0,0,0,121200,2000,0,645600,0,0,768800
7,2022-08-31,XIIT,MUTUAL FUND,12500000000.0,586,3996894900,21800000,126124100,0,16794060,0,117140,500000,0,4162230200,0,0,0,121200,2000,0,646600,0,0,769800
8,2022-09-30,XIIT,MUTUAL FUND,12500000000.0,584,3996894900,21800000,126400000,0,18147560,0,193140,500000,0,4163935600,0,0,0,114400,2000,0,648000,0,0,764400
9,2022-10-31,XIIT,MUTUAL FUND,12500000000.0,581,3996894900,39800000,132400000,0,18714760,0,239240,1500500,0,4189549400,0,0,0,0,2000,0,448600,0,0,450600
10,2022-11-30,XIIT,MUTUAL FUND,12500000000.0,571,3987894000,39800000,133700000,0,18791160,0,162840,1500500,9000900,4190849400,0,0,0,0,2000,0,448600,0,0,450600
11,2022-12-30,XIIT,MUTUAL FUND,12500000000.0,536,3987894000,39800000,133700000,0,20122560,0,109740,3500500,9000900,4194127700,0,0,0,0,2000,0,470300,0,0,472300
12,2023-01-31,XIIT,MUTUAL FUND,12500000000.0,541,4026894000,39800000,139700000,0,20933060,0,113540,14500500,0,4241941100,0,0,0,0,2000,0,456900,0,0,458900
13,2023-02-28,XIIT,MUTUAL FUND,12500000000.0,534,3943394000,39800000,139700000,0,21014060,0,128840,14500500,0,4158537400,0,0,0,0,2000,0,460600,0,0,462600
14,2023-03-31,XIIT,MUTUAL FUND,12500000000.0,540,3943394000,39800000,139700000,0,21262060,0,180840,16500500,0,4160837400,0,0,0,0,2000,0,460600,0,0,462600
15,2023-04-28,XIIT,MUTUAL FUND,12500000000.0,555,3943394000,39800000,178300000,0,21245160,0,197740,16500500,0,4199437400,0,0,0,0,2000,0,460600,0,0,462600
16,2023-05-31,XIIT,MUTUAL FUND,12500000000.0,554,3943394000,39800000,182300000,0,21247960,0,193740,16500500,0,4203436200,0,0,0,0,2000,0,461800,0,0,463800
17,2023-06-27,XIIT,MUTUAL FUND,12500000000.0,564,3944294000,39800000,183300000,0,21559460,0,181340,16500500,0,4205635300,0,0,0,0,2000,0,462700,0,0,464700
18,2023-07-31,XIIT,MUTUAL FUND,12500000000.0,573,3993494000,39808800,178500000,0,21745160,0,167640,16500500,0,4250216100,0,0,0,22300,2000,0,459600,0,0,483900
19,2023-08-31,XIIT,MUTUAL FUND,12500000000.0,570,3995894000,39817500,152100000,0,21960360,0,156040,16500500,0,4226428400,0,0,0,10000,2000,0,459600,0,0,471600
20,2023-09-29,XIIT,MUTUAL FUND,12500000000.0,570,3995894000,39800000,151200000,0,22064560,0,178340,16500500,0,4225637400,0,0,0,1000,2000,0,459600,0,0,462600
21,2023-10-31,XIIT,MUTUAL FUND,12500000000.0,528,3994394000,39800000,151200000,0,22454360,0,191340,16500500,0,4224540200,0,0,0,300,2000,0,457500,0,0,459800
22,2023-11-30,XIIT,MUTUAL FUND,12500000000.0,550,3994394000,39800000,151200000,0,22384960,0,161040,16500500,0,4224440500,0,0,0,0,2000,0,457500,0,0,459500
23,2023-12-29,XIIT,MUTUAL FUND,12500000000.0,555,3994394000,39800000,197200000,0,22436360,0,205040,16600500,0,4270635900,0,0,0,4600,2000,0,457500,0,0,464100
24,2024-01-31,XIIT,MUTUAL FUND,12500000000.0,560,3956594000,39800000,197200000,0,21968160,0,177840,8100500,0,4223840500,0,0,0,0,2000,0,457500,0,0,459500
25,2024-02-29,XIIT,MUTUAL FUND,12500000000.0,573,3913194000,39800000,170200000,0,19819660,0,125540,8100500,0,4151239700,0,0,0,0,2000,0,458300,0,0,460300
26,2024-03-28,XIIT,MUTUAL FUND,12500000000.0,580,3913194000,39800000,170200000,0,19957060,0,184640,8100500,0,4151436200,0,0,0,3500,2000,0,458300,0,0,463800
27,2024-04-30,XIIT,MUTUAL FUND,12500000000.0,550,3949494000,39800000,170200000,0,20088360,0,154440,8100500,0,4187837300,0,0,0,0,2000,0,460700,0,0,462700
28,2024-05-31,XIIT,MUTUAL FUND,12500000000.0,514,3996994000,39800000,170400000,0,20585360,0,115540,8100500,0,4235995400,0,1300,0,1000,2000,0,500300,0,0,504600
29,2024-06-28,XIIT,MUTUAL FUND,12500000000.0,527,3996994000,39800000,170200000,0,20988660,0,208440,8100500,0,4236291600,0,1300,0,2000,2000,0,503100,0,0,508400
30,2024-07-31,XIIT,MUTUAL FUND,12500000000.0,540,3996994000,39800000,170200000,0,20589972,0,508228,8100500,0,4236192700,0,1300,0,900,2000,0,503100,0,0,507300
31,2024-08-30,XIIT,MUTUAL FUND,12500000000.0,570,3996994000,39800000,170200000,0,25115237,0,555763,8100500,0,4240765500,0,1300,0,7100,0,0,526100,0,0,534500
32,2024-09-30,XIIT,MUTUAL FUND,12500000000.0,574,4002294000,39800000,84200000,0,24769935,0,608965,8100500,0,4159773400,0,0,0,500,0,0,526100,0,0,526600
33,2024-10-31,XIIT,MUTUAL FUND,12500000000.0,560,3903994000,39800000,84200000,0,25547690,0,433610,8100500,0,4062075800,0,0,0,0,0,0,524200,0,0,524200
34,2024-11-29,XIIT,MUTUAL FUND,12500000000.0,526,3903994000,39800000,114200000,0,26229457,0,551843,8100500,0,4092875800,0,0,0,0,0,0,524200,0,0,524200
