,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-11-30,XKID,MUTUAL FUND,3000000000.0,1017,0,0,0,0,8100,0,10391900,0,0,10400000,0,0,0,0,0,0,0,0,0,0
1,2023-12-29,XKID,MUTUAL FUND,3000000000.0,1050,0,0,0,0,8200,0,10391800,0,0,10400000,0,0,0,0,0,0,0,0,0,0
2,2024-01-31,XKID,MUTUAL FUND,3000000000.0,1048,0,0,0,0,3200,0,10396800,0,0,10400000,0,0,0,0,0,0,0,0,0,0
3,2024-02-29,XKID,MUTUAL FUND,3000000000.0,1067,0,0,0,0,3500,0,10396500,0,0,10400000,0,0,0,0,0,0,0,0,0,0
4,2024-03-28,XKID,MUTUAL FUND,3000000000.0,1079,0,0,0,0,3200,0,6396800,0,0,6400000,0,0,0,0,0,0,0,0,0,0
5,2024-04-30,XKID,MUTUAL FUND,3000000000.0,1005,0,0,0,0,4800,0,6395200,0,0,6400000,0,0,0,0,0,0,0,0,0,0
6,2024-05-31,XKID,MUTUAL FUND,3000000000.0,957,0,0,0,0,4800,0,6395200,0,0,6400000,0,0,0,0,0,0,0,0,0,0
7,2024-06-28,XKID,MUTUAL FUND,3000000000.0,975,0,0,0,0,5800,0,6394200,0,0,6400000,0,0,0,0,0,0,0,0,0,0
8,2024-07-31,XKID,MUTUAL FUND,3000000000.0,991,0,0,0,0,5800,0,5394200,0,0,5400000,0,0,0,0,0,0,5400000,0,0,5400000
9,2024-08-30,XKID,MUTUAL FUND,3000000000.0,1043,0,0,0,0,5200,0,5394800,0,0,5400000,0,0,0,0,0,0,5400000,0,0,5400000
10,2024-09-30,XKID,MUTUAL FUND,3000000000.0,1052,0,0,0,0,5200,0,5394800,0,0,5400000,0,0,0,0,0,0,5400000,0,0,5400000
11,2024-10-31,XKID,MUTUAL FUND,3000000000.0,1027,0,0,0,0,5200,0,5394800,0,0,5400000,0,0,0,0,0,0,5400000,0,0,5400000
12,2024-11-29,XKID,MUTUAL FUND,3000000000.0,952,0,0,0,0,7300,0,5392700,0,0,5400000,0,0,0,0,0,0,5400000,0,0,5400000
13,2024-12-30,XKID,MUTUAL FUND,3000000000.0,927,0,0,0,0,7300,0,5392700,0,0,5400000,0,0,0,0,0,0,5400000,0,0,5400000
