,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XKIV,MUTUAL FUND,20000000000.0,458,0,2200000,10000000,0,112200,0,20287800,0,0,32600000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,XKIV,MUTUAL FUND,20000000000.0,478,0,2200000,10000000,0,112100,0,20287900,0,0,32600000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,XKIV,MUTUAL FUND,20000000000.0,510,0,2200000,11100000,0,99100,0,20300900,0,0,33700000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,XKIV,MUTUAL FUND,20000000000.0,539,0,0,1000000,0,103500,0,20296500,0,0,21400000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,XKIV,MUTUAL FUND,20000000000.0,569,0,0,1000000,0,119500,0,20280500,0,0,21400000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,XKIV,MUTUAL FUND,20000000000.0,525,0,0,0,0,159000,0,20241000,0,0,20400000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,XKIV,MUTUAL FUND,20000000000.0,637,0,0,0,0,147800,0,20252200,0,0,20400000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,XKIV,MUTUAL FUND,20000000000.0,572,0,0,2500000,0,138700,0,20261300,0,0,22900000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,XKIV,MUTUAL FUND,20000000000.0,580,0,0,3000000,0,88500,0,20311500,0,0,23400000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,XKIV,MUTUAL FUND,20000000000.0,589,0,0,4700000,0,88200,0,20311800,0,0,25100000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,XKIV,MUTUAL FUND,20000000000.0,856,0,0,4700000,0,92100,0,20307900,0,0,25100000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,XKIV,MUTUAL FUND,20000000000.0,674,0,0,4700000,0,116600,0,20283400,0,0,25100000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,XKIV,MUTUAL FUND,20000000000.0,520,0,0,4700000,0,137600,0,20262400,0,0,25100000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,XKIV,MUTUAL FUND,20000000000.0,594,0,0,4700000,0,143900,0,20256100,0,0,25100000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,XKIV,MUTUAL FUND,20000000000.0,527,0,0,4700000,0,165400,0,20234600,0,0,25100000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,XKIV,MUTUAL FUND,20000000000.0,544,0,0,4700000,0,158100,0,20241900,0,0,25100000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,XKIV,MUTUAL FUND,20000000000.0,508,0,0,4700000,0,156400,0,20243600,0,0,25100000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,XKIV,MUTUAL FUND,20000000000.0,535,0,0,4700000,0,150500,0,20249500,0,0,25100000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,XKIV,MUTUAL FUND,20000000000.0,566,0,0,4700000,0,133900,0,20266100,0,0,25100000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,XKIV,MUTUAL FUND,20000000000.0,559,0,0,4700000,0,127600,0,20272400,0,0,25100000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,XKIV,MUTUAL FUND,20000000000.0,583,0,6000,4700000,0,138900,0,20255100,0,0,25100000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,XKIV,MUTUAL FUND,20000000000.0,533,0,0,4700000,0,139500,0,20260500,0,0,25100000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,XKIV,MUTUAL FUND,20000000000.0,500,0,0,4700000,0,125000,0,10275000,0,0,15100000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,XKIV,MUTUAL FUND,20000000000.0,498,0,0,4700000,0,125400,0,10274600,0,0,15100000,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,XKIV,MUTUAL FUND,20000000000.0,493,0,0,4700000,0,125700,0,10274300,0,0,15100000,0,0,0,0,0,0,0,0,0,0
