,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XKMS,MUTUAL FUND,10000000000.0,1104,0,0,0,0,696700,0,5949800,0,0,6646500,0,2500,0,0,0,0,351351000,0,0,351353500
1,2022-02-25,XKMS,MUTUAL FUND,10000000000.0,1144,0,0,0,0,702200,0,5944300,0,0,6646500,0,2500,0,0,0,0,351351000,0,500000,351853500
2,2022-03-31,XKMS,MUTUAL FUND,10000000000.0,1195,0,0,0,0,706300,0,6200200,0,0,6906500,0,2500,0,0,0,0,346351000,0,10440000,356793500
3,2022-04-28,XKMS,MUTUAL FUND,10000000000.0,1257,0,0,0,0,716000,0,6120500,0,0,6836500,0,2500,0,0,0,0,346351000,0,6910000,353263500
4,2022-05-31,XKMS,MUTUAL FUND,10000000000.0,1180,0,0,0,0,726000,0,6155500,0,0,6881500,0,2500,0,0,0,0,346351000,0,5765000,352118500
5,2022-06-30,XKMS,MUTUAL FUND,10000000000.0,1136,0,0,0,0,801800,0,6137100,0,0,6938900,0,2500,0,0,0,0,337429100,0,6129500,343561100
6,2022-07-29,XKMS,MUTUAL FUND,10000000000.0,1164,0,0,0,0,796600,0,6107300,0,0,6903900,0,2500,0,0,0,0,334779100,0,7714500,342496100
7,2022-08-31,XKMS,MUTUAL FUND,10000000000.0,1203,0,0,0,0,1051000,0,6082900,0,0,7133900,0,2500,0,0,0,0,321709100,0,8154500,329866100
8,2022-09-30,XKMS,MUTUAL FUND,10000000000.0,1239,0,0,0,0,830600,0,6063300,0,0,6893900,0,2500,0,0,0,0,305849100,0,6954500,312806100
9,2022-10-31,XKMS,MUTUAL FUND,10000000000.0,1272,0,0,0,0,749200,0,6055700,0,0,6804900,0,2500,0,0,0,0,301968100,0,8024500,309995100
10,2022-11-30,XKMS,MUTUAL FUND,10000000000.0,1271,0,0,0,0,772400,0,6097500,0,0,6869900,0,2500,0,0,0,0,300968100,0,9859500,310830100
11,2022-12-30,XKMS,MUTUAL FUND,10000000000.0,1218,0,0,0,0,822100,0,6236400,0,0,7058500,0,2500,0,0,0,0,302952000,0,10287000,313241500
12,2023-01-31,XKMS,MUTUAL FUND,10000000000.0,1218,0,0,0,0,831300,0,6226700,0,0,7058000,0,2500,0,0,0,0,318312500,0,9727000,328042000
13,2023-02-28,XKMS,MUTUAL FUND,10000000000.0,1227,0,0,0,0,855400,0,6262600,0,0,7118000,0,2500,0,0,0,0,325112500,0,10467000,335582000
14,2023-03-31,XKMS,MUTUAL FUND,10000000000.0,1253,0,0,0,0,871400,0,6194600,0,0,7066000,0,2500,0,0,0,0,319414500,0,10517000,329934000
15,2023-04-28,XKMS,MUTUAL FUND,10000000000.0,1304,0,0,0,0,911600,0,6229300,0,0,7140900,0,2500,0,0,0,0,327509600,0,11047000,338559100
16,2023-05-31,XKMS,MUTUAL FUND,10000000000.0,1311,0,0,0,0,983900,0,6237000,0,0,7220900,0,2500,0,0,0,0,334319600,0,8657000,342979100
