,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XMIG,MUTUAL FUND,30000000000.0,182,27700000,0,45500000,0,38714100,0,685900,0,0,112600000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,XMIG,MUTUAL FUND,30000000000.0,192,27700000,0,25500000,0,38713500,0,686500,0,0,92600000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,XMIG,MUTUAL FUND,30000000000.0,199,27700000,0,25500000,0,38714400,0,685600,0,0,92600000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,XMIG,MUTUAL FUND,30000000000.0,207,27700000,0,18600000,0,38740100,0,659900,0,0,85700000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,XMIG,MUTUAL FUND,30000000000.0,195,27700000,0,18600000,0,38739800,0,660200,0,0,85700000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,XMIG,MUTUAL FUND,30000000000.0,190,27700000,0,8600000,0,38766500,0,633500,0,0,75700000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,XMIG,MUTUAL FUND,30000000000.0,194,27700000,0,20600000,0,38805000,0,595000,0,0,87700000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,XMIG,MUTUAL FUND,30000000000.0,201,27700000,0,8600000,0,38848800,0,551200,1300000,0,77000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,XMIG,MUTUAL FUND,30000000000.0,206,27700000,0,8600000,0,38757600,0,642400,2800000,0,78500000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,XMIG,MUTUAL FUND,30000000000.0,212,27700000,0,8600000,0,38728200,0,671800,4900000,0,80600000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,XMIG,MUTUAL FUND,30000000000.0,210,0,0,8600000,0,38723000,0,677000,4900000,27700000,80600000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,XMIG,MUTUAL FUND,30000000000.0,204,0,0,33000000,0,11017700,0,682300,4900000,27700000,77300000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,XMIG,MUTUAL FUND,30000000000.0,206,0,0,48000000,0,11017700,0,1082300,4900000,0,65000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,XMIG,MUTUAL FUND,30000000000.0,206,0,0,42500000,0,11017700,0,1082300,4900000,0,59500000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,XMIG,MUTUAL FUND,30000000000.0,213,0,0,42500000,0,11015200,0,1084800,4900000,0,59500000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,XMIG,MUTUAL FUND,30000000000.0,213,0,0,22500000,0,11015200,0,1084800,4900000,0,39500000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,XMIG,MUTUAL FUND,30000000000.0,217,0,0,22500000,0,11015200,0,1084800,4900000,0,39500000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,XMIG,MUTUAL FUND,30000000000.0,219,0,0,22500000,0,11013700,0,1086300,4900000,0,39500000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,XMIG,MUTUAL FUND,30000000000.0,222,0,0,3100000,0,11013700,0,1086300,4900000,0,20100000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,XMIG,MUTUAL FUND,30000000000.0,226,0,0,3100000,0,11013800,0,1086200,4900000,0,20100000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,XMIG,MUTUAL FUND,30000000000.0,225,0,0,3100000,0,11024400,0,1075600,4900000,0,20100000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,XMIG,MUTUAL FUND,30000000000.0,212,0,0,3100000,0,11030400,0,1069600,4900000,0,20100000,0,0,0,0,0,0,0,0,0,0
