,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-03-31,XMLF,MUTUAL FUND,15000000000.0,965,11000000,5000000,10400000,0,1900600,0,99400,0,0,28400000,0,0,0,0,0,0,0,0,0,0
1,2023-04-28,XMLF,MUTUAL FUND,15000000000.0,795,11000000,5000000,10400000,0,1904700,0,95200,0,0,28399900,0,0,0,100,0,0,0,0,0,100
2,2023-05-31,XMLF,MUTUAL FUND,15000000000.0,968,16100000,5000000,10382000,0,2218800,0,99100,0,0,33799900,0,0,0,100,0,0,0,0,0,100
3,2023-06-27,XMLF,MUTUAL FUND,15000000000.0,985,9400000,5000000,7682000,0,2218600,0,99300,0,0,24399900,0,0,0,100,0,0,0,0,0,100
4,2023-07-31,XMLF,MUTUAL FUND,15000000000.0,1000,9400000,5000000,7682000,0,2217200,0,100700,0,0,24399900,0,0,0,100,0,0,0,0,0,100
5,2023-08-31,XMLF,MUTUAL FUND,15000000000.0,997,9400000,5000000,5682000,0,2337300,0,80600,0,0,22499900,0,0,0,100,0,0,0,0,0,100
6,2023-09-29,XMLF,MUTUAL FUND,15000000000.0,992,9400000,5000000,5682000,0,2338300,0,79600,0,0,22499900,0,0,0,100,0,0,0,0,0,100
7,2023-10-31,XMLF,MUTUAL FUND,15000000000.0,925,2000000,5000000,5682000,0,2338200,0,79700,0,0,15099900,0,0,0,100,0,0,0,0,0,100
8,2023-11-30,XMLF,MUTUAL FUND,15000000000.0,954,2000000,0,8182000,0,2337700,0,80200,0,0,12599900,0,0,0,100,0,0,0,0,0,100
9,2023-12-29,XMLF,MUTUAL FUND,15000000000.0,999,2000000,0,8182000,0,2338500,0,79400,0,0,12599900,0,0,0,100,0,0,0,0,0,100
10,2024-01-31,XMLF,MUTUAL FUND,15000000000.0,1008,2000000,0,8182000,0,2337600,0,80300,0,0,12599900,0,0,0,100,0,0,0,0,0,100
11,2024-02-29,XMLF,MUTUAL FUND,15000000000.0,1018,0,0,482000,0,2338900,0,79000,0,0,2899900,0,0,0,100,0,0,0,0,0,100
12,2024-03-28,XMLF,MUTUAL FUND,15000000000.0,1027,0,0,482000,0,2340000,0,77900,0,0,2899900,0,0,0,100,0,0,0,0,0,100
13,2024-04-30,XMLF,MUTUAL FUND,15000000000.0,973,0,0,1282000,0,2351800,0,1066100,0,0,4699900,0,0,0,100,0,0,0,0,0,100
14,2024-05-31,XMLF,MUTUAL FUND,15000000000.0,926,0,0,1282000,0,2348000,0,3569900,0,0,7199900,0,0,0,100,0,0,0,0,0,100
15,2024-06-28,XMLF,MUTUAL FUND,15000000000.0,942,0,0,1282000,0,2339700,0,10078200,0,0,13699900,0,0,0,100,0,0,0,0,0,100
16,2024-07-31,XMLF,MUTUAL FUND,15000000000.0,964,0,0,1282000,0,2340000,0,10077900,0,0,13699900,0,0,0,100,0,0,0,0,0,100
17,2024-08-30,XMLF,MUTUAL FUND,15000000000.0,992,0,0,482000,0,2340100,0,10077800,0,0,12899900,0,0,0,100,0,0,0,0,0,100
18,2024-09-30,XMLF,MUTUAL FUND,15000000000.0,993,0,0,482000,0,2340200,0,10077700,0,0,12899900,0,0,0,100,0,0,0,0,0,100
19,2024-10-31,XMLF,MUTUAL FUND,15000000000.0,976,0,0,482000,0,2340500,0,10077400,0,0,12899900,0,0,0,100,0,0,0,0,0,100
20,2024-11-29,XMLF,MUTUAL FUND,15000000000.0,901,0,0,482000,0,2343000,0,10074900,0,0,12899900,0,0,0,100,0,0,0,0,0,100
21,2024-12-30,XMLF,MUTUAL FUND,15000000000.0,875,0,0,482000,0,2343200,0,10074700,0,0,12899900,0,0,0,100,0,0,0,0,0,100
