,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XPFT,MUTUAL FUND,4000000000.0,537,238900000,0,9400000,0,435400,0,64600,38000000,0,286800000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,XPFT,MUTUAL FUND,4000000000.0,560,239400000,0,1500000,0,443200,0,56800,0,0,241400000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,XPFT,MUTUAL FUND,4000000000.0,580,239400000,0,500000,0,453000,0,47000,0,0,240400000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,XPFT,MUTUAL FUND,4000000000.0,620,167300000,0,0,0,454200,0,45800,0,0,167800000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,XPFT,MUTUAL FUND,4000000000.0,585,167300000,0,0,0,464500,0,35500,0,0,167800000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,XPFT,MUTUAL FUND,4000000000.0,573,281800000,0,0,0,492200,0,7800,0,0,282300000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,XPFT,MUTUAL FUND,4000000000.0,570,282700000,0,0,0,490600,0,9400,0,0,283200000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,XPFT,MUTUAL FUND,4000000000.0,594,289000000,0,0,0,491300,0,8700,0,0,289500000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,XPFT,MUTUAL FUND,4000000000.0,597,295400000,0,0,0,469100,0,30900,0,0,295900000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,XPFT,MUTUAL FUND,4000000000.0,619,354100000,0,0,0,469000,0,31000,0,0,354600000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,XPFT,MUTUAL FUND,4000000000.0,619,316600000,0,0,0,463900,0,36100,0,37500000,354600000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,XPFT,MUTUAL FUND,4000000000.0,619,341700000,0,0,0,463900,0,36100,0,37500000,379700000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,XPFT,MUTUAL FUND,4000000000.0,619,341700000,0,0,0,464400,0,35600,0,37500000,379700000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,XPFT,MUTUAL FUND,4000000000.0,599,336500000,0,200000,0,473700,0,26400,0,37499900,374700000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,XPFT,MUTUAL FUND,4000000000.0,599,336500000,0,0,0,573700,0,26400,0,37499900,374600000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,XPFT,MUTUAL FUND,4000000000.0,600,336500000,0,0,0,477100,0,22900,0,0,337000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,XPFT,MUTUAL FUND,4000000000.0,608,336500000,0,0,0,463600,0,34100,0,0,336997700,0,0,0,2300,0,0,0,0,0,2300
17,2023-06-27,XPFT,MUTUAL FUND,4000000000.0,615,336500000,0,200000,0,463900,0,34100,0,0,337198000,0,0,0,2000,0,0,0,0,0,2000
18,2023-07-31,XPFT,MUTUAL FUND,4000000000.0,643,336500000,0,200000,0,470700,0,27100,0,0,337197800,0,0,0,2200,0,0,0,0,0,2200
19,2023-08-31,XPFT,MUTUAL FUND,4000000000.0,616,339800000,0,300000,0,573300,0,24500,0,0,340697800,0,0,0,2200,0,0,0,0,0,2200
