,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XPID,MUTUAL FUND,4000000000.0,511,7700000,0,10000000,0,191600,0,105400,0,0,17997000,0,3000,0,0,0,0,0,0,0,3000
1,2022-02-25,XPID,MUTUAL FUND,4000000000.0,533,7700000,0,10000000,0,121100,0,75900,0,0,17897000,0,3000,0,0,0,0,0,0,0,3000
2,2022-03-31,XPID,MUTUAL FUND,4000000000.0,558,7700000,0,0,0,73100,0,123900,0,0,7897000,0,3000,0,0,0,0,0,0,0,3000
3,2022-04-28,XPID,MUTUAL FUND,4000000000.0,589,7700000,0,0,0,72500,0,124500,0,0,7897000,0,3000,0,0,0,0,0,0,0,3000
4,2022-05-31,XPID,MUTUAL FUND,4000000000.0,556,7700000,0,0,0,72500,0,124500,0,0,7897000,0,3000,0,0,0,0,0,0,0,3000
5,2022-06-30,XPID,MUTUAL FUND,4000000000.0,549,7700000,0,0,0,99200,0,97800,0,0,7897000,0,3000,0,0,0,0,0,0,0,3000
6,2022-07-29,XPID,MUTUAL FUND,4000000000.0,536,6700000,0,0,0,101100,0,95900,0,0,6897000,0,3000,0,0,0,0,0,0,0,3000
7,2022-08-31,XPID,MUTUAL FUND,4000000000.0,555,0,0,0,0,300600,0,96400,0,0,397000,0,3000,0,0,0,0,0,0,0,3000
8,2022-09-30,XPID,MUTUAL FUND,4000000000.0,540,0,0,0,0,101900,0,95100,0,0,197000,0,3000,0,0,0,0,0,0,0,3000
9,2022-10-31,XPID,MUTUAL FUND,4000000000.0,519,0,0,0,0,97900,0,99100,0,0,197000,0,3000,0,0,0,0,0,0,0,3000
10,2022-11-30,XPID,MUTUAL FUND,4000000000.0,506,0,0,0,0,76800,0,20200,0,0,97000,0,3000,0,0,0,0,0,0,0,3000
11,2022-12-30,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,91200,0,5800,0,0,97000,0,3000,0,0,0,0,0,0,0,3000
12,2023-01-31,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,94100,0,2900,0,0,97000,0,3000,0,0,0,0,0,0,0,3000
13,2023-02-28,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,94100,0,2900,0,0,97000,0,3000,0,0,0,0,0,0,0,3000
14,2023-03-31,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,94100,0,2900,0,0,97000,0,3000,0,0,0,0,0,0,0,3000
15,2023-04-28,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,700,0,0,0,0,700,0,3000,0,0,0,0,0,0,0,3000
16,2023-05-31,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,700,0,0,0,0,700,0,3000,0,0,0,0,0,0,0,3000
17,2023-06-27,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,700,0,0,0,0,700,0,3000,0,0,0,0,0,0,0,3000
18,2023-07-31,XPID,MUTUAL FUND,4000000000.0,510,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,3000
