,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XPTD,MUTUAL FUND,4000000000.0,498,0,200000,13600000,0,114100,0,85800,6000000,0,19999900,0,0,0,0,0,0,100,0,0,100
1,2022-02-25,XPTD,MUTUAL FUND,4000000000.0,500,0,200000,13600000,0,112100,0,87800,6000000,0,19999900,0,0,0,0,0,0,100,0,0,100
2,2022-03-31,XPTD,MUTUAL FUND,4000000000.0,565,0,100000,13600000,0,112000,0,187900,4000000,0,17999900,0,0,0,0,0,0,100,0,0,100
3,2022-04-28,XPTD,MUTUAL FUND,4000000000.0,550,0,100000,13600000,0,111200,0,188700,0,0,13999900,0,0,0,0,0,0,100,0,0,100
4,2022-05-31,XPTD,MUTUAL FUND,4000000000.0,550,0,100000,13600000,0,117200,0,182700,0,0,13999900,0,0,0,0,0,0,100,0,0,100
5,2022-06-30,XPTD,MUTUAL FUND,4000000000.0,540,0,100000,10000000,0,111600,0,188300,0,0,10399900,0,0,0,0,0,0,100,0,0,100
6,2022-07-29,XPTD,MUTUAL FUND,4000000000.0,525,0,100000,10000000,0,112900,0,187100,0,0,10400000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,XPTD,MUTUAL FUND,4000000000.0,545,0,100000,10000000,0,106300,0,193700,0,0,10400000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,XPTD,MUTUAL FUND,4000000000.0,550,0,100000,0,0,105400,0,18194600,0,0,18400000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,XPTD,MUTUAL FUND,4000000000.0,537,0,100000,0,0,105200,0,18194800,0,0,18400000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,XPTD,MUTUAL FUND,4000000000.0,532,0,100000,0,0,105000,0,37295000,0,0,37500000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,XPTD,MUTUAL FUND,4000000000.0,493,0,100000,0,0,113700,0,37286300,0,0,37500000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,XPTD,MUTUAL FUND,4000000000.0,503,0,100000,0,0,105300,0,37294700,0,0,37500000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,XPTD,MUTUAL FUND,4000000000.0,501,0,100000,0,0,105000,0,37295000,0,0,37500000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,XPTD,MUTUAL FUND,4000000000.0,508,0,100000,0,0,106800,0,37293200,0,0,37500000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,XPTD,MUTUAL FUND,4000000000.0,477,0,100000,0,0,105900,0,37294100,0,0,37500000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,XPTD,MUTUAL FUND,4000000000.0,511,0,100000,0,0,105300,0,37294700,0,0,37500000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,XPTD,MUTUAL FUND,4000000000.0,511,0,100000,0,0,105300,0,37294700,0,0,37500000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,XPTD,MUTUAL FUND,4000000000.0,525,0,100000,0,0,105300,0,37294700,0,0,37500000,0,0,0,0,0,0,0,0,0,0
