,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,XSSK,MUTUAL FUND,5000000000.0,660,0,0,0,0,22500,0,15977500,0,0,16000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,XSSK,MUTUAL FUND,5000000000.0,675,0,0,0,0,22500,0,15977500,0,0,16000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,XSSK,MUTUAL FUND,5000000000.0,716,0,0,0,0,22400,0,14577600,0,0,14600000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,XSSK,MUTUAL FUND,5000000000.0,757,0,0,0,0,32300,0,14567700,0,0,14600000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,XSSK,MUTUAL FUND,5000000000.0,729,0,0,0,0,21900,0,14578100,0,0,14600000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,XSSK,MUTUAL FUND,5000000000.0,695,0,0,0,0,63900,0,14536100,0,0,14600000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,XSSK,MUTUAL FUND,5000000000.0,1020,0,0,0,0,78200,0,14521800,0,0,14600000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,XSSK,MUTUAL FUND,5000000000.0,750,0,0,0,0,87100,0,14512900,0,0,14600000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,XSSK,MUTUAL FUND,5000000000.0,750,0,0,0,0,49500,0,13950500,0,0,14000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,XSSK,MUTUAL FUND,5000000000.0,768,0,0,0,0,48200,0,13951800,0,0,14000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,XSSK,MUTUAL FUND,5000000000.0,769,0,0,0,0,44200,0,20555800,0,0,20600000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,XSSK,MUTUAL FUND,5000000000.0,735,0,0,0,0,45600,0,20554400,0,0,20600000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,XSSK,MUTUAL FUND,5000000000.0,464,0,0,0,0,47500,0,20552500,0,0,20600000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,XSSK,MUTUAL FUND,5000000000.0,727,0,0,0,0,59900,0,20540100,0,0,20600000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,XSSK,MUTUAL FUND,5000000000.0,748,0,0,0,0,49300,0,20550700,0,0,20600000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,XSSK,MUTUAL FUND,5000000000.0,782,0,0,0,0,46900,0,20553100,0,0,20600000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,XSSK,MUTUAL FUND,5000000000.0,791,0,0,0,0,30100,0,16569900,0,0,16600000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,XSSK,MUTUAL FUND,5000000000.0,797,0,0,0,0,25600,0,16574400,0,0,16600000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,XSSK,MUTUAL FUND,5000000000.0,806,0,0,0,0,39900,0,13960100,0,0,14000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,XSSK,MUTUAL FUND,5000000000.0,804,0,0,0,0,40300,0,13959700,0,0,14000000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,XSSK,MUTUAL FUND,5000000000.0,794,0,0,0,0,39200,0,13960800,0,0,14000000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,XSSK,MUTUAL FUND,5000000000.0,752,0,0,0,0,39100,0,13960900,0,0,14000000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,XSSK,MUTUAL FUND,5000000000.0,766,0,0,0,0,36800,0,13963200,0,0,14000000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,XSSK,MUTUAL FUND,5000000000.0,786,0,0,0,0,36800,0,13963200,0,0,14000000,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,XSSK,MUTUAL FUND,5000000000.0,798,0,0,0,0,36800,0,13963200,0,0,14000000,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,XSSK,MUTUAL FUND,5000000000.0,818,0,0,0,0,36800,0,12763200,0,0,12800000,0,0,0,0,0,0,0,0,0,0
26,2024-03-28,XSSK,MUTUAL FUND,5000000000.0,821,0,0,0,0,36000,0,16264000,0,0,16300000,0,0,0,0,0,0,0,0,0,0
27,2024-04-30,XSSK,MUTUAL FUND,5000000000.0,763,0,0,0,0,36200,0,16263800,0,0,16300000,0,0,0,0,0,0,0,0,0,0
28,2024-05-31,XSSK,MUTUAL FUND,5000000000.0,700,0,0,0,0,40600,0,16259400,0,0,16300000,0,0,0,0,0,0,0,0,0,0
29,2024-06-28,XSSK,MUTUAL FUND,5000000000.0,728,0,0,0,0,40900,0,17859100,0,0,17900000,0,0,0,0,0,0,0,0,0,0
30,2024-07-31,XSSK,MUTUAL FUND,5000000000.0,739,0,0,0,0,77400,0,22622600,0,0,22700000,0,0,0,0,0,0,0,0,0,0
31,2024-08-30,XSSK,MUTUAL FUND,5000000000.0,778,0,0,0,0,57500,0,23442500,0,0,23500000,0,0,0,0,0,0,0,0,0,0
32,2024-09-30,XSSK,MUTUAL FUND,5000000000.0,779,0,0,0,0,57800,0,17042200,0,0,17100000,0,0,0,0,0,0,0,0,0,0
33,2024-10-31,XSSK,MUTUAL FUND,5000000000.0,771,0,0,0,0,57800,0,19442200,0,0,19500000,0,0,0,0,0,0,0,0,0,0
34,2024-11-29,XSSK,MUTUAL FUND,5000000000.0,716,0,0,0,0,58000,0,19442000,0,0,19500000,0,0,0,0,0,0,0,0,0,0
35,2024-12-30,XSSK,MUTUAL FUND,5000000000.0,689,0,0,0,0,57800,0,19442200,0,0,19500000,0,0,0,0,0,0,0,0,0,0
