,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,YULE,EQUITY,1785000000.0,2000,0,286942172,0,0,1051786377,0,286180600,0,53535152,1678444301,0,0,0,90269200,436599,0,69900,0,15780000,106555699
1,2022-02-25,YULE,EQUITY,1785000000.0,2010,0,286840072,0,0,1051888577,0,286180600,0,53535152,1678444401,0,0,0,90269100,436599,0,69900,0,15780000,106555599
2,2022-03-31,YULE,EQUITY,1785000000.0,2010,0,297058872,0,0,1063251777,0,286180600,0,31966552,1678457801,0,0,0,83767300,424999,0,69900,0,22280000,106542199
3,2022-04-28,YULE,EQUITY,1785000000.0,2150,0,291655372,0,0,1067474477,0,286180600,0,33148152,1678458601,0,0,0,83766500,424999,0,69900,0,22280000,106541399
4,2022-05-31,YULE,EQUITY,1785000000.0,2090,0,288923196,0,0,1061091153,0,286180600,0,42263652,1678458601,0,0,0,83766500,424999,0,69900,0,22280000,106541399
5,2022-06-30,YULE,EQUITY,1785000000.0,2120,0,325155396,0,0,1062763953,0,265260800,0,4421952,1657602101,0,0,0,83776900,414399,0,9900,0,43196700,127397899
6,2022-07-29,YULE,EQUITY,1785000000.0,2080,0,331327296,0,0,1048375153,0,258760800,0,12575652,1651038901,0,0,0,96294500,414399,0,9900,0,37242300,133961099
7,2022-08-31,YULE,EQUITY,1785000000.0,2110,0,327462596,0,0,1039321253,0,258760800,0,21129852,1646674501,0,6950000,0,96308900,414399,0,9900,0,34642300,138325499
8,2022-09-30,YULE,EQUITY,1785000000.0,2100,14050000,326925596,0,0,1022461353,0,258760800,0,24458352,1646656101,0,6950000,0,96327300,414399,0,9900,0,34642300,138343899
9,2022-10-31,YULE,EQUITY,1785000000.0,2100,14050000,326010696,0,0,1044635953,0,258760800,0,3180052,1646637501,0,6950000,0,96345900,414399,0,9900,0,34642300,138362499
10,2022-11-30,YULE,EQUITY,1785000000.0,2080,14050000,329396596,0,0,1042391953,0,258760800,0,2052552,1646651901,0,6950000,0,96331500,414399,0,9900,0,34642300,138348099
11,2022-12-30,YULE,EQUITY,1785000000.0,2230,14050000,318395875,0,0,1048194274,0,235813200,0,7232352,1623685701,0,6950000,0,96308100,403999,0,9900,0,57642300,161314299
12,2023-01-31,YULE,EQUITY,1785000000.0,2410,14050000,319628775,0,0,1033869186,0,235813200,0,20360840,1623722001,0,6950000,0,96271800,403999,0,9900,0,57642300,161277999
