,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ZYRX-W,WARRANT,166666650.0,62,0,47223950,0,0,119442650,0,50,0,0,166666650,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,ZYRX-W,WARRANT,166666650.0,101,0,43657750,0,0,123008850,0,50,0,0,166666650,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,ZYRX-W,WARRANT,166666600.0,101,0,39979750,0,0,126686800,0,50,0,0,166666600,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,ZYRX-W,WARRANT,166666500.0,80,0,37967550,0,0,128698900,0,50,0,0,166666500,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,ZYRX-W,WARRANT,166666500.0,60,0,37448250,0,0,129218200,0,50,0,0,166666500,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,ZYRX-W,WARRANT,166666499.0,43,0,37037450,0,0,129628999,0,50,0,0,166666499,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,ZYRX-W,WARRANT,166666247.0,34,0,34278750,0,0,132387447,0,50,0,0,166666247,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,ZYRX-W,WARRANT,166666246.0,33,0,28317450,0,0,138348696,0,100,0,0,166666246,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,ZYRX-W,WARRANT,166666246.0,29,0,14915550,0,0,151750596,0,100,0,0,166666246,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,ZYRX-W,WARRANT,166666245.0,24,0,13243750,0,0,153422395,0,100,0,0,166666245,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,ZYRX-W,WARRANT,166666235.0,23,0,7614750,0,0,159051384,0,100,0,1,166666235,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,ZYRX-W,WARRANT,166666113.0,16,0,4702550,0,0,161963312,0,250,0,1,166666113,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,ZYRX-W,WARRANT,166666093.0,8,0,2196150,0,0,164469692,0,250,0,1,166666093,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,ZYRX-W,WARRANT,166666073.0,4,0,1501150,0,0,165164673,0,250,0,1,166666074,0,0,0,0,0,0,0,0,0,0
